,class,language,question
0,DATE,it,Quando è avvenuta la riunificazione delle due Germanie?
1,DATE,es,¿Cuándo se produjo la reunificación de Alemania?
2,DATE,nl,Wanneer vond de Duitse hereniging plaats?
3,DATE,en,When did the reunification of East and West Germany take place?
4,PERSON,it,Chi è il presidente della FIAT?
5,PERSON,es,¿Quién es el presidente de FIAT?
6,PERSON,nl,Wie is bestuursvoorzitter van Fiat?
7,PERSON,en,Who is the president of FIAT?
8,ORGANIZATION,it,Chi ha imposto l'embargo in Iraq?
9,ORGANIZATION,es,¿Qué organismo impuso el embargo sobre Irak?
10,ORGANIZATION,nl,Wie stelde een embargo in tegen Irak?
11,ORGANIZATION,en,Who imposed the embargo on Iraq?
12,LOCATION,it,In quale stato si trova la Bosnia?
13,LOCATION,es,¿En qué país se encuentra la región de Bosnia?
14,LOCATION,nl,In welke land ligt Bosnië?
15,LOCATION,en,In which country is Bosnia located?
16,OTHER,it,Qual è la sigla con cui si indica la sindrome della mucca pazza?
17,OTHER,es,¿Cuáles son las siglas del mal de las vacas locas?
18,OTHER,nl,Wat is de afkorting voor gekke-koeienziekte?
19,OTHER,en,What is the abbreviation for mad cow disease?
20,ORGANIZATION,it,Che cosa significa la sigla CEE?
21,ORGANIZATION,es,¿Qué significan las siglas CEE?
22,ORGANIZATION,nl,Wat betekent de afkorting EEG?
23,ORGANIZATION,en,What does the abbreviation EEC mean?
24,OTHER,it,Che cosa significa la sigla DNA?
25,OTHER,es,¿Qué significan las siglas ADN?
26,OTHER,nl,Waar staat de afkorting DNA voor?
27,OTHER,en,What does the abbreviation DNA stand for?
28,PERSON,it,Chi ha fatto costruire il muro di Berlino?
29,PERSON,es,¿Quién construyó el muro de Berlín?
30,PERSON,nl,Wie heeft de Berlijnse Muur gebouwd?
31,PERSON,en,Who built the Berlin Wall?
32,PERSON,it,Chi è il presidente della Repubblica Italiana?
33,PERSON,es,¿Quién es el presidente de la República de Italia?
34,PERSON,nl,Wie is de president van Italië?
35,PERSON,en,Who is the president of the Republic of Italy?
