,Unnamed: 0,class,language,question,pos,ner
0,0,DATE,it,Quando è avvenuta la riunificazione delle due Germanie?,"['ADV', 'AUX', 'VERB', 'DET', 'NOUN', 'DET', 'NUM', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', 'LOC', '']"
1,1,DATE,es,¿Cuándo se produjo la reunificación de Alemania?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', 'LOC', '']"
2,2,DATE,nl,Wanneer vond de Duitse hereniging plaats?,"['ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', 'ORG', 'ORG', '', '']"
3,3,DATE,en,When did the reunification of East and West Germany take place?,"['ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '', 'GPE', 'GPE', '', '', '']"
4,4,PERSON,it,Chi è il presidente della FIAT?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PROPN', 'PUNCT']","['', '', '', '', '', 'ORG', '']"
5,5,PERSON,es,¿Quién es el presidente de FIAT?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', 'ORG', '']"
6,6,PERSON,nl,Wie is bestuursvoorzitter van Fiat?,"['PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', 'LOC', '']"
7,7,PERSON,en,Who is the president of FIAT?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'ORG', '']"
8,8,ORGANIZATION,it,Chi ha imposto l'embargo in Iraq?,"['PRON', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
9,9,ORGANIZATION,es,¿Qué organismo impuso el embargo sobre Irak?,"['PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', 'LOC', '']"
10,10,ORGANIZATION,nl,Wie stelde een embargo in tegen Irak?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADV', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
11,11,ORGANIZATION,en,Who imposed the embargo on Iraq?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', '']"
12,12,LOCATION,it,In quale stato si trova la Bosnia?,"['ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
13,13,LOCATION,es,¿En qué país se encuentra la región de Bosnia?,"['PUNCT', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', 'MISC', 'MISC', 'MISC', '', '', '', '', '', '', '']"
14,14,LOCATION,nl,In welke land ligt Bosnië?,"['ADP', 'PRON', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', '', 'LOC', '']"
15,15,LOCATION,en,In which country is Bosnia located?,"['ADP', 'DET', 'NOUN', 'VERB', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', 'GPE', '', '']"
16,16,OTHER,it,Qual è la sigla con cui si indica la sindrome della mucca pazza?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PRON', 'PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
17,17,OTHER,es,¿Cuáles son las siglas del mal de las vacas locas?,"['PUNCT', 'VERB', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['', 'LOC', '', '', '', '', '', '', '', '', '', '']"
18,18,OTHER,nl,Wat is de afkorting voor gekke-koeienziekte?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'PUNCT', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
19,19,OTHER,en,What is the abbreviation for mad cow disease?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
20,20,ORGANIZATION,it,Che cosa significa la sigla CEE?,"['DET', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'ORG', '']"
21,21,ORGANIZATION,es,¿Qué significan las siglas CEE?,"['PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'ORG', '']"
22,22,ORGANIZATION,nl,Wat betekent de afkorting EEG?,"['PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', 'ORG', '']"
23,23,ORGANIZATION,en,What does the abbreviation EEC mean?,"['PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', 'ORG', '', '']"
24,24,OTHER,it,Che cosa significa la sigla DNA?,"['DET', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '']"
25,25,OTHER,es,¿Qué significan las siglas ADN?,"['PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '']"
26,26,OTHER,nl,Waar staat de afkorting DNA voor?,"['ADV', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADV', 'PUNCT']","['', '', '', '', '', '', '']"
27,27,OTHER,en,What does the abbreviation DNA stand for?,"['PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'VERB', 'ADP', 'PUNCT']","['', '', '', '', '', '', '', '']"
