,accuracy,confusion,datetime,execution_time,f1,fold,model,precision,recall,test_time,train_size
0,0.6571428571428571,"[[46  0  2  0  1  3  0]
 [ 1 44  3  2 14  3  4]
 [ 1  1 66  2  2  1  4]
 [ 0  2  1  1  5  7  8]
 [ 2  1  2  0  5  6  0]
 [ 1 14  9  1  2 18  2]
 [ 0  2  3  1  4  3 50]]",2019-04-01 16:48:17.545280,0.0017757415771484375,0.5422741622384893,0,svm_linear,0.5465133495774425,0.5560389621913017,0.0009753704071044922,100
0,0.7057142857142857,"[[41  2  0  1  0  2  0]
 [ 2 55  2  2  7  1  3]
 [ 0  1 63  0  0  1  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 11  2  1]
 [10  8 11  6 11 27 18]
 [ 0  1  4  1  4  1 50]]",2019-04-01 16:48:17.563676,0.0033202171325683594,0.5898595994981688,1,svm_linear,0.5991947021842726,0.6445469149750791,0.0022208690643310547,100
0,0.6714285714285714,"[[42  2  0  1  2  1  1]
 [ 2 52  6  5  2 12 10]
 [ 2  2 67  2  9 10  5]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  6  4  0]
 [ 1  0  6  2 11 10  4]
 [ 0  2  0  1  5  4 58]]",2019-04-01 16:48:17.585238,0.0020284652709960938,0.5214837649620258,2,svm_linear,0.5402849961922108,0.5428968272333627,0.0008225440979003906,100
0,0.6542857142857142,"[[46  5  1  3  2  2  1]
 [ 1 43  9  2 14 12  9]
 [ 0  4 67  0  0  6  1]
 [ 0  4  2  1  0  4  0]
 [ 0  1  0  0  8  2  3]
 [ 1  3  2  2  3 14  3]
 [ 1 10  0  1  5  2 50]]",2019-04-01 16:48:17.603362,0.0021698474884033203,0.5439177424926815,3,svm_linear,0.5458478313539742,0.5700563067022695,0.0008261203765869141,100
0,0.6285714285714286,"[[37  2  1  2  0  6  0]
 [ 7 52  6  1 10  9  6]
 [ 0  0 65  0  0  2  1]
 [ 0  2  0  0  0  0  0]
 [ 0  2  2  2  4  5  2]
 [ 1  3  8  3 14  8  3]
 [ 5  2  3  3  3 14 54]]",2019-04-01 16:48:17.621809,0.002240896224975586,0.47960611084260546,4,svm_linear,0.4941621379734689,0.482327931172469,0.0007920265197753906,100
0,0.6828571428571428,"[[43  4  3  0  1  2  0]
 [ 4 55  3  3  7  8  6]
 [ 2  2 69  1  1 16  1]
 [ 0  0  0  0  0  0  0]
 [ 0  2  1  2 13 13  4]
 [ 0  2  1  0  2  2  0]
 [ 0  3  0  4  8  5 57]]",2019-04-01 16:48:17.640181,0.0019221305847167969,0.5176756160974889,5,svm_linear,0.5529202858444339,0.5140368908343583,0.000820159912109375,100
0,0.6571428571428571,"[[37  1  0  1  3  2  0]
 [ 7 54  7  2 13  8  6]
 [ 2  6 68  0  3 11  3]
 [ 0  1  1  2  0  4  2]
 [ 0  0  0  0  9  5  5]
 [ 0  2  3  2  2 10  5]
 [ 1  2  1  2  4  3 50]]",2019-04-01 16:48:17.658838,0.0021827220916748047,0.5509736778050469,6,svm_linear,0.5541610652796761,0.5732563697685181,0.0007905960083007812,100
0,0.6257142857142857,"[[38  1  2  2  2  3  0]
 [ 1 52  8  4 11 16  7]
 [ 2  3 63  1  5  7  1]
 [ 0  1  0  1  0  2  1]
 [ 1  1  0  0  1  0  0]
 [ 2  5  3  1 12  8  7]
 [ 2  0  3  1  5  8 56]]",2019-04-01 16:48:17.677682,0.0021088123321533203,0.4821052486188115,7,svm_linear,0.5051894105318115,0.5108197415193565,0.0008029937744140625,100
0,0.6657142857142857,"[[40  1  1  1  0  1  0]
 [ 1 51  2  1  0  3  2]
 [ 3  1 63  0  1  8  4]
 [ 0  3  0  1  0  1  0]
 [ 5  4  2  0 17 12  3]
 [ 4  6  5  2  9 10  4]
 [ 1  4  6  3  5  8 51]]",2019-04-01 16:48:17.696717,0.0022194385528564453,0.5656925638817731,8,svm_linear,0.5646376661824903,0.5779694143066235,0.0007958412170410156,100
0,0.6485714285714286,"[[42  0  3  0  2  2  2]
 [ 4 48 14  5  3 19  8]
 [ 1  1 61  1  0  1  1]
 [ 0  0  0  0  0  0  0]
 [ 2  6  0  2 20 12 13]
 [ 0  3  3  0  0  6  2]
 [ 1  2  1  2  2  5 50]]",2019-04-01 16:48:17.717520,0.002246856689453125,0.5232714219365044,9,svm_linear,0.5594101785629385,0.5441254209454558,0.0008111000061035156,100
