,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.6085714285714285,"[[38  3  1  0  1  2  0]
 [ 4 49  4  3  6  8  4]
 [ 3  7 63  6 18 20  9]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  2  0]
 [ 0  0  0  0  1  1  0]
 [ 3  6  9  0  6 11 58]]",2019-05-29 17:45:32.592830,35.285542488098145,0.4377828808684079,0,0.5305988342854244,0.4734906329976753,0.5375674504706762,2.9816646575927734,100
0,0.5828571428571429,"[[33  1  0  0  1  0  0]
 [ 7 47  7  5 10 20  2]
 [ 6  8 67  5  7 12 14]
 [ 0  0  0  0  0  0  0]
 [ 0  1  1  0  0  1  0]
 [ 0  2  0  0  3  4  1]
 [ 3  6  5  2 10  6 53]]",2019-05-29 17:46:11.447484,35.77165341377258,0.4100832286311297,1,0.4943425714890155,0.44060177482697654,0.4298576573486538,2.9942073822021484,100
0,0.5828571428571429,"[[30  2  3  0  0  1  1]
 [14 52 20  4 11 12 12]
 [ 1  0 51  1  5  5  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  5  3  0]
 [ 5  3  5  2  7 14  5]
 [ 0  4  9  1  4  5 52]]",2019-05-29 17:46:50.217399,35.385186433792114,0.46112219548684913,2,0.5040043180934689,0.46723554816229723,0.5262117941111843,3.2959938049316406,100
0,0.5657142857142857,"[[25  0  0  0  0  0  0]
 [26 46 12  4  7 22  4]
 [ 2 11 61  3 11  9 11]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  8  6  0]
 [ 0  0  0  0  0  1  0]
 [ 0  4  5  1  7  7 57]]",2019-05-29 17:47:29.236559,35.82828736305237,0.41877656528784507,3,0.48265759883913795,0.43773726960395687,0.6028731970290411,3.101229667663574,100
0,0.5514285714285714,"[[11  0  0  0  0  0  0]
 [13 46  8  2  2 10  1]
 [18  7 56  4  6  9  2]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  1 10  4  1]
 [ 2  3  3  2  0  7  0]
 [10  9 16  2 11 10 63]]",2019-05-29 17:48:08.009084,35.57284736633301,0.41658542503276913,4,0.4586451786100556,0.433642612789101,0.5186651963748613,3.1095399856567383,100
0,0.5714285714285714,"[[40 12  6  1  1  7  6]
 [ 2 28  1  0  1  9  0]
 [ 1 13 64  1  9  9  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  6  1  0]
 [ 0  0  0  4  2  4  1]
 [ 2 21  8  1 16 12 58]]",2019-05-29 17:48:46.962091,35.69889736175537,0.4200457168908461,5,0.4894733454445754,0.45671452752614333,0.5118823827508256,3.16416335105896,100
0,0.6085714285714285,"[[33  0  0  0  1  1  0]
 [ 8 54 15  4  6 22  6]
 [ 6  7 61  3  9  7  5]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  4  4  0]
 [ 0  0  1  1  2  4  2]
 [ 4  0  4  4 10  4 57]]",2019-05-29 17:49:26.575545,36.32891392707825,0.45046310601170697,6,0.5310022970122567,0.472233827820256,0.5094375388909337,3.1945464611053467,100
0,0.48857142857142855,"[[ 2  1  0  0  0  0  0]
 [20 41  2  2  4 13  3]
 [22 11 70  3 10 16  8]
 [ 0  0  0  0  0  0  0]
 [ 0  1  1  0  6  6  1]
 [ 0  0  0  0  0  0  0]
 [12 12  7  2 11 11 52]]",2019-05-29 17:50:06.870686,36.932053089141846,0.302323329124191,7,0.38533777309065087,0.3625678277175973,0.362142988036336,3.2726995944976807,100
0,0.5828571428571429,"[[30  3  0  0  1  5  1]
 [ 8 41  4  7  4  5  1]
 [ 5 14 71  2 13 11 16]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  8  8  3]
 [ 3  4  2  0  1  5  3]
 [ 1  4  3  0  4  9 49]]",2019-05-29 17:50:46.699213,36.44579076766968,0.4458544629848834,8,0.4925358821748367,0.4547592333509559,0.464481550195836,3.29099178314209,100
0,0.5314285714285715,"[[28  1  1  0  2  0  3]
 [13 58  8  0 10 24 17]
 [ 6  5 64  6 18 18 23]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  3  2  0]
 [ 1  0  0  1  3  1 34]]",2019-05-29 17:51:27.338003,36.91303300857544,0.362110355406193,9,0.45261403935570294,0.40747122115762036,0.4218995290423862,3.6350996494293213,100
