,accuracy,confusion,datetime,execution_time,f1,fold,mcc,model,precision,recall,test_time,train_size
0,0.784,"[[34  0  0  0  3  0  1]
 [ 0 16  0  0  4  2  2]
 [ 0  5 44  0  2  0  1]
 [ 0  1  1 50  1  0  3]
 [ 0  1  6  3 14  2  2]
 [ 0  0  0  0  0  1  1]
 [ 1  0  0  4  6  2 37]]",2019-09-03 16:31:28.398278,223.60830688476562,0.6885071483208717,1,0.7385831190129409,cnn_bert,0.6862538111305675,0.7200592139689883,5.1498987674713135,200
0,0.808,"[[32  0  0  2  1  0  1]
 [ 0 17  1  1  6  0  5]
 [ 2  4 48  2  4  0  3]
 [ 1  2  0 50  2  1  0]
 [ 1  0  1  1 16  3  2]
 [ 0  0  0  0  0  3  0]
 [ 0  0  0  1  1  0 36]]",2019-09-03 16:35:33.561552,239.91844606399536,0.7577947161870628,2,0.7702824805434791,cnn_bert,0.7418677878344156,0.817764649719537,5.157244920730591,200
0,0.784,"[[34  0  1  1  0  0  2]
 [ 0  7  0  1  2  0  0]
 [ 0  5 43  0  0  0  1]
 [ 1  2  2 51  5  0  0]
 [ 0  5  5  3 19  6  2]
 [ 0  1  0  0  2  0  0]
 [ 0  3  0  1  2  1 42]]",2019-09-03 16:39:34.504722,235.46300554275513,0.6425733137250933,3,0.7398745471203418,cnn_bert,0.6486572641618116,0.6629280419181107,5.391498327255249,200
0,0.82,"[[33  0  0  0  3  0  1]
 [ 1 14  0  1  1  0  0]
 [ 1  6 48  0  2  0  1]
 [ 0  0  0 53  3  1  1]
 [ 1  2  1  1 16  4  3]
 [ 0  0  0  1  0  0  0]
 [ 0  1  1  1  5  2 41]]",2019-09-03 16:43:27.019134,227.39353394508362,0.6861709200247647,4,0.782061021869096,cnn_bert,0.6886943770156195,0.6903072505796353,5.031331539154053,200
0,0.852,"[[34  1  0  0  1  1  1]
 [ 1 15  0  3  1  0  1]
 [ 0  5 49  0  3  2  1]
 [ 0  0  0 51  2  1  0]
 [ 0  1  1  1 20  0  1]
 [ 0  0  0  0  3  3  2]
 [ 0  1  1  2  0  0 41]]",2019-09-03 16:47:25.948156,233.9734046459198,0.7781674173574114,5,0.8220870797481787,cnn_bert,0.7781003087246877,0.7842254445637904,4.866227388381958,200
0,0.784,"[[30  0  0  1  4  0  1]
 [ 2  9  3  0  1  0  1]
 [ 0  7 47  0  3  2  2]
 [ 0  5  0 54  1  1  2]
 [ 0  2  1  2 19  2  4]
 [ 0  0  0  0  0  2  2]
 [ 3  0  0  0  2  0 35]]",2019-09-03 16:51:15.244108,224.22252225875854,0.6924945709255014,6,0.7389498110476141,cnn_bert,0.6830161033691435,0.7188287610126018,4.983083724975586,200
0,0.764,"[[28  1  0  0  1  1  1]
 [ 1 13  3  3  5  0  1]
 [ 0  3 46  0  6  2  4]
 [ 1  2  0 51  1  0  1]
 [ 5  3  1  3 13  1  0]
 [ 0  0  0  0  0  0  0]
 [ 0  1  1  0  4  3 40]]",2019-09-03 16:55:22.975601,242.4320981502533,0.6268765181035149,7,0.7143449281055739,cnn_bert,0.635187454406272,0.6223055967117526,5.207793474197388,200
0,0.716,"[[18  0  0  0  5  1  0]
 [ 2 20  8  0 11  5  3]
 [11  1 39  0  5  0  1]
 [ 1  2  0 55  2  1  0]
 [ 0  0  1  0  4  0  0]
 [ 0  0  0  0  0  0  0]
 [ 3  0  3  2  3  0 43]]",2019-09-03 16:59:19.068514,231.09630393981934,0.5571724623171415,8,0.6653856796920868,cnn_bert,0.5945280064409033,0.6200442045972148,4.905396223068237,200
0,0.588,"[[ 0  0  0  0  0  0  0]
 [ 0  5  4  0  1  0  3]
 [ 7 14 43  0 11  2  0]
 [ 0  1  0 54  1  0  0]
 [ 0  0  0  0  1  0  0]
 [ 0  0  0  0  0  0  0]
 [29  3  3  3 16  5 44]]",2019-09-03 17:03:05.422609,221.19855999946594,0.3659825914566845,9,0.5221778008153733,cnn_bert,0.42775189592853546,0.4763610176231535,5.061308145523071,200
0,0.34,"[[30  1  0  2  0  0  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 5 21 51 55 30  7 46]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]]",2019-09-03 17:06:58.723592,228.1393117904663,0.18199671172816953,10,0.2788246990442167,cnn_bert,0.2602935911206588,0.16259527066640608,5.069202899932861,200
