,accuracy,confusion,datetime,execution_time,f1,fold,precision,recall,test_time,train_size
0,0.6142857142857143,"[[44 17  3  5  7 14  6]
 [ 1 45  6  1  2 10  8]
 [ 0  0 67  0  1  5  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  2]
 [ 2  4  6  2 16 11  7]
 [ 0  2  0  0  6  1 47]]",2019-05-14 14:43:58.661308,0.008163213729858398,0.4507944134008387,0,0.4822250905136847,0.4831375441698338,0.002388477325439453,100
0,0.6514285714285715,"[[44  6  2  1  4  6  0]
 [ 4 52  8  8 19 20 12]
 [ 0  1 71  0  0  7  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  3  0]
 [ 0  0  1  0  0  3  0]
 [ 0  2  1  2  9  5 54]]",2019-05-14 14:43:58.678104,0.007066011428833008,0.47309298733219973,1,0.5156872069076798,0.581404503554401,0.0016925334930419922,100
0,0.5971428571428572,"[[42 14  3  2  4 10  3]
 [ 3 46 11  5  7 14 10]
 [ 0  0 63  0  0  1  1]
 [ 0  0  0  0  0  0  0]
 [ 1  5  3  4  8 14  2]
 [ 0  0  0  0  3  1  0]
 [ 2  4  0  1  7  7 49]]",2019-05-14 14:43:58.696174,0.0069773197174072266,0.44296768515835444,2,0.4828787836032884,0.45043931293931294,0.0015680789947509766,100
0,0.6657142857142857,"[[45 12  0  0  0  1  0]
 [ 2 45  7  3 13 11 12]
 [ 0  1 66  1  0  3  2]
 [ 0  1  0  1  0  2  0]
 [ 0  1  0  0  3  3  0]
 [ 2  1  3  2 11 15  4]
 [ 1  4  2  1  8  3 58]]",2019-05-14 14:43:58.719726,0.007182598114013672,0.5342223368854213,3,0.5438672230025614,0.5700568070959992,0.0015821456909179688,100
0,0.6257142857142857,"[[39  6  2  0  1  5  3]
 [ 3 43  4  5  7  8 10]
 [ 3  6 67  1 11 12  6]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  6  5  0]
 [ 0  6  7  1  1 10  0]
 [ 0  3  0  3  7  4 54]]",2019-05-14 14:43:58.738086,0.006998300552368164,0.4846189318079929,4,0.502074580670471,0.5037953462011964,0.00160980224609375,100
0,0.6,"[[40 10  1  3  3  8  5]
 [ 6 44  8  4 11 13 16]
 [ 1  2 67  0  2  6  6]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  0]
 [ 1  1  1  0  9  8  0]
 [ 0  4  1  2 10  6 50]]",2019-05-14 14:43:58.756639,0.007053375244140625,0.4325742426890723,5,0.4694099351522097,0.5550502392737917,0.0016040802001953125,100
0,0.6742857142857143,"[[48  2  1  1  2  4  2]
 [ 2 52  2  5  7 12 12]
 [ 1  6 68  3  5 11  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  1  0  7  5  2]
 [ 3  3  2  2  4  7  0]
 [ 1  3  1  1  4  4 54]]",2019-05-14 14:43:58.776205,0.0077626705169677734,0.516754956920223,6,0.5346959009600778,0.5261056133831886,0.0017402172088623047,100
0,0.5714285714285714,"[[36  6  1  1  0  4 12]
 [ 0 28  0  0  2  0  0]
 [ 5 15 64  0  4  9  6]
 [ 1  5  0  1  0  3  2]
 [ 8 15  6  2 16 22  5]
 [ 1  1  3  1  3  6  1]
 [ 0  1  0  0  3  2 49]]",2019-05-14 14:43:58.795406,0.007117033004760742,0.47214786085194976,7,0.5029014431942487,0.5314501710132777,0.0016787052154541016,100
0,0.5742857142857143,"[[50 21  3  3  1 12  5]
 [ 2 34  6  2  7  7  5]
 [ 0  1 64  0  1  2  2]
 [ 0  1  0  1  0  0  0]
 [ 3  8  4  3 10 16 15]
 [ 0  2  1  0  8  3  4]
 [ 1  1  0  0  2  0 39]]",2019-05-14 14:43:58.815393,0.007965564727783203,0.46414359451975634,8,0.47163593111868973,0.5319169971026257,0.0018515586853027344,100
0,0.6371428571428571,"[[31  1  3  0  0  0  0]
 [12 58 13  7 13 17 18]
 [ 2  1 71  2  1  2  5]
 [ 0  0  0  0  0  0  0]
 [ 0  1  1  0  7  8  0]
 [ 4  1  0  1  3  8  1]
 [ 1  2  1  1  4  1 48]]",2019-05-14 14:43:58.837799,0.008097648620605469,0.49576391212461646,9,0.49469881398252186,0.5478625133211705,0.0021932125091552734,100
0,0.672,"[[26  9  1  1  1  1  1]
 [ 2 34  0  0  2  1  1]
 [ 0  1 53  3  2  8  1]
 [ 0  2  0  0  0  1  0]
 [ 0  1  0  3  2  5  0]
 [ 4  2  2  0  3  8  3]
 [ 2  4  1  2  6  6 45]]",2019-05-14 14:43:58.861011,0.00985407829284668,0.5009938176389789,0,0.515722783651693,0.5009549274255156,0.0017838478088378906,200
0,0.708,"[[31  2  0  0  0  0  0]
 [ 4 38  2  2  5 10  9]
 [ 0  1 49  0  1  3  0]
 [ 1  0  0  1  0  0  0]
 [ 1  0  0  4  6  7  1]
 [ 3  1  2  0  3  9  1]
 [ 1  3  1  0  4  1 43]]",2019-05-14 14:43:58.884119,0.00921940803527832,0.5878873947002271,1,0.58041318938073,0.6414932755122853,0.0015223026275634766,200
0,0.616,"[[29  4  1  1  1  8  4]
 [ 2 29  5  1  4  1  0]
 [ 0  2 48  1  0  1  1]
 [ 0  0  0  1  1  0  0]
 [ 0  0  0  0  4  1  1]
 [ 9 11  6  4  8  9 10]
 [ 0  2  0  0  5  1 34]]",2019-05-14 14:43:58.905340,0.009033203125,0.5141220871680864,2,0.5052358769594794,0.6191983496477043,0.0015103816986083984,200
0,0.652,"[[30  1  0  0  1  1  0]
 [ 0 31  2  1  2  4  3]
 [ 0  1 45  2  0  4  1]
 [ 0  0  0  0  0  0  0]
 [ 1  6  1  1  6  6  7]
 [ 3  2  1  2  3  9  0]
 [ 6  4  5  2  7  7 42]]",2019-05-14 14:43:58.926434,0.00972747802734375,0.5203588214521657,3,0.5243981581057533,0.5312437036373961,0.0014634132385253906,200
0,0.684,"[[30  4  0  1  3  7  1]
 [ 0 40  0  0  3  2  1]
 [ 0  0 49  1  0  2  0]
 [ 1  1  1  0  0  0  0]
 [ 0  0  0  0  4  3  1]
 [ 1  2  2  0  8 10  3]
 [ 4  7  4  1  9  6 38]]",2019-05-14 14:43:58.947529,0.00937795639038086,0.52819934026804,4,0.5420274170274171,0.5570552635770027,0.0014247894287109375,200
0,0.696,"[[29  0  2  0  0  2  1]
 [ 3 41  3  3  7  8 14]
 [ 0  0 47  0  1  1  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  3  1  1]
 [ 1  3  6  4  6 14  4]
 [ 1  1  0  0  1  2 40]]",2019-05-14 14:43:58.968481,0.009239673614501953,0.5485361319018581,5,0.5582472069287484,0.5983460190332279,0.001424551010131836,200
0,0.7,"[[29  0  0  0  0  1  0]
 [ 2 31  3  3  1  5  2]
 [ 0  1 52  0  0  3  0]
 [ 0  0  0  0  0  0  1]
 [ 0  5  0  3 10  7  4]
 [ 2  8  6  0  5 11  2]
 [ 0  1  1  2  4  3 42]]",2019-05-14 14:43:58.989399,0.009139537811279297,0.5754661560719153,6,0.5830866683024096,0.5736603416404976,0.0014376640319824219,200
0,0.692,"[[30  2  2  0  0  1  1]
 [ 1 40  2  3  3  6  4]
 [ 0  3 54  1  1  4  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  5  2  0]
 [ 2  2  2  3 10 10  7]
 [ 3  1  1  1  5  4 34]]",2019-05-14 14:43:59.011165,0.009639263153076172,0.5439707232823578,7,0.5528209581131891,0.5791976193221438,0.001470327377319336,200
0,0.644,"[[24  1  0  0  2  3  1]
 [ 7 33  2  1  3  4  5]
 [ 0  0 48  0  0  4  1]
 [ 1  2  0  1  0  0  1]
 [ 0  0  0  0  7  4  0]
 [ 4  5  5  3  4  9  3]
 [ 1  6  1  2 11  2 39]]",2019-05-14 14:43:59.032152,0.008927106857299805,0.538610879702035,8,0.5337413448051745,0.5739967275572875,0.0013911724090576172,200
0,0.712,"[[34  3  0  0  1  3  1]
 [ 5 29  5  3  4  4  0]
 [ 0  0 47  0  0  0  0]
 [ 1  0  0  1  0  0  0]
 [ 1  2  2  2 12 10  0]
 [ 3  1  3  0  1  6  1]
 [ 0  3  0  2  6  5 49]]",2019-05-14 14:43:59.053121,0.009138345718383789,0.5900517542405243,9,0.5943595141405844,0.6367375809740342,0.0014126300811767578,200
0,0.6533333333333333,"[[15  3  0  1  0  3  1]
 [ 1 24  2  2  5  4  3]
 [ 1  0 27  0  0  6  1]
 [ 0  0  1  0  0  0  0]
 [ 0  0  1  0  4  2  0]
 [ 0  1  2  0  2  3  0]
 [ 0  3  0  1  3  3 25]]",2019-05-14 14:43:59.076582,0.011459589004516602,0.5096948593761111,0,0.5338047242357353,0.5242403748349816,0.001285552978515625,300
0,0.7466666666666667,"[[21  2  0  1  0  3  1]
 [ 0 20  2  1  2  2  1]
 [ 1  0 32  0  1  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  2  2  0]
 [ 0  1  4  4  2  9  2]
 [ 0  0  0  1  1  3 28]]",2019-05-14 14:43:59.100623,0.011239767074584961,0.5866249739420472,1,0.6040954659375712,0.5804339917785296,0.0012869834899902344,300
0,0.6733333333333333,"[[17  1  1  1  1  3  1]
 [ 1 22  0  0  2  3  6]
 [ 0  3 29  0  1  3  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  0]
 [ 2  2  2  3  5 10  4]
 [ 0  2  0  1  1  0 22]]",2019-05-14 14:43:59.124138,0.011371850967407227,0.5191368607786906,2,0.5390678400546821,0.6194158689116672,0.0011363029479980469,300
0,0.7733333333333333,"[[17  3  1  1  0  2  3]
 [ 0 28  0  1  3  1  2]
 [ 0  0 31  0  2  5  0]
 [ 0  0  0  1  0  0  0]
 [ 0  0  0  0  6  2  0]
 [ 0  0  0  0  0  5  2]
 [ 0  1  0  0  3  2 28]]",2019-05-14 14:43:59.146805,0.011233806610107422,0.6811396955691013,3,0.6713960584233692,0.7904620327663229,0.001096487045288086,300
0,0.7866666666666666,"[[23  1  1  1  1  1  1]
 [ 0 29  3  1  1  2  4]
 [ 0  0 30  0  0  3  1]
 [ 0  0  0  1  0  0  0]
 [ 0  1  0  0  5  2  0]
 [ 0  0  0  0  2  7  0]
 [ 0  2  1  0  2  1 23]]",2019-05-14 14:43:59.169637,0.011380434036254883,0.704017198243063,4,0.6792018531550552,0.799476802215139,0.0011012554168701172,300
0,0.8266666666666667,"[[21  1  0  0  0  0  0]
 [ 1 25  0  1  2  1  1]
 [ 1  1 36  0  0  3  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  1  1  3  1  0]
 [ 0  1  0  1  3  8  0]
 [ 0  1  0  2  3  0 31]]",2019-05-14 14:43:59.192519,0.011373281478881836,0.6509457294623535,5,0.6578496149804245,0.6560383287369912,0.0010952949523925781,300
0,0.6933333333333334,"[[13  2  0  1  0  1  1]
 [ 2 22  1  1  4  3  0]
 [ 0  0 29  0  0  4  0]
 [ 0  1  0  0  0  0  0]
 [ 0  1  0  1  4  2  0]
 [ 3  1  0  0  6  6  0]
 [ 0  2  0  1  7  1 30]]",2019-05-14 14:43:59.216231,0.011769294738769531,0.546480904021028,6,0.5655241258535301,0.5534834406785627,0.001361846923828125,300
0,0.7066666666666667,"[[20  0  0  1  0  1  0]
 [ 2 23  1  1  4  4  3]
 [ 0  1 33  0  0  2  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  1  2  3  0]
 [ 0  1  5  0  5  5  3]
 [ 0  1  1  1  1  2 23]]",2019-05-14 14:43:59.239515,0.011239290237426758,0.54133791571405,7,0.5532277222439493,0.5458022014283357,0.001094818115234375,300
0,0.7066666666666667,"[[22  1  0  1  0  3  1]
 [ 1 20  2  2  3  3  3]
 [ 0  0 27  0  0  4  0]
 [ 0  0  0  0  0  0  0]
 [ 2  0  0  0  3  7  2]
 [ 0  0  0  0  0  5  0]
 [ 0  4  1  1  0  3 29]]",2019-05-14 14:43:59.262795,0.011192560195922852,0.545893509122583,8,0.5869387755102041,0.6031944186842819,0.0011093616485595703,300
0,0.72,"[[16  0  0  1  0  3  0]
 [ 1 26  2  0  0  1  2]
 [ 0  0 32  0  0  3  0]
 [ 0  0  0  0  0  0  0]
 [ 1  4  1  0  3  3  3]
 [ 0  2  0  1  5  6  2]
 [ 0  1  0  0  5  1 25]]",2019-05-14 14:43:59.286241,0.011300325393676758,0.5593661507665267,9,0.5651448283276015,0.5547193877551021,0.0010972023010253906,300
0,0.76,"[[ 6  0  0  0  0  0  0]
 [ 0  7  0  1  0  2  2]
 [ 0  0 11  0  1  0  0]
 [ 0  0  0  0  0  1  0]
 [ 0  0  0  0  1  0  0]
 [ 0  1  1  0  0  1  0]
 [ 0  0  0  0  1  2 12]]",2019-05-14 14:43:59.319255,0.019745826721191406,0.5952107279693487,0,0.592687074829932,0.661904761904762,0.0008881092071533203,400
0,0.62,"[[ 6  1  0  0  0  1  0]
 [ 0 10  0  0  1  1  4]
 [ 0  0  8  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  1  1  1  1  0  4]
 [ 0  0  2  0  2  0  0]
 [ 0  0  0  0  0  0  6]]",2019-05-14 14:43:59.346595,0.014929533004760742,0.45431435732187614,1,0.46273964131106987,0.5,0.0008571147918701172,400
0,0.68,"[[6 1 1 2 0 2 0]
 [0 7 1 0 1 2 0]
 [0 0 9 0 0 0 0]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 2 0]
 [0 0 2 0 0 4 0]
 [0 1 0 0 1 0 8]]",2019-05-14 14:43:59.371672,0.013527393341064453,0.5105339105339105,2,0.5528693528693529,0.5147186147186147,0.0008306503295898438,400
0,0.7,"[[ 7  1  1  0  1  0]
 [ 0  3  0  0  1  0]
 [ 0  0  9  0  0  0]
 [ 0  0  0  0  5  0]
 [ 0  1  1  1  3  0]
 [ 0  1  0  0  2 13]]",2019-05-14 14:43:59.396933,0.01364588737487793,0.5922357448726617,3,0.5946969696969697,0.6270833333333333,0.0008525848388671875,400
