,accuracy,confusion,datetime,execution_time,f1,fold,precision,recall,test_time,train_size
0,0.5142857142857142,"[[45 19 10  1 12 12 13]
 [ 0 25  2  1  1  2  1]
 [ 0  6 52  1  8 10  5]
 [ 0  0  0  0  0  0  0]
 [ 0  3  2  3  6  5  0]
 [ 1  2  3  0  2  3  0]
 [ 0 13 13  3  5 11 49]]",2019-05-14 14:44:01.585405,0.008357048034667969,0.37803301024052055,0,0.42098293360600547,0.4181393425578991,0.002574920654296875,100
0,0.5971428571428572,"[[43  7  9  6  9 18 10]
 [ 4 52  6  0 11 12  5]
 [ 2  2 59  1  2  7  2]
 [ 0  0  0  2  0  1  0]
 [ 0  0  0  0  0  0  3]
 [ 0  1  0  1  7  5  2]
 [ 0  3  2  0  4  4 48]]",2019-05-14 14:44:01.602810,0.007230043411254883,0.4601725733317585,1,0.4922805820456482,0.5074378549233901,0.001800537109375,100
0,0.54,"[[25  5  0  0  5  4  3]
 [14 40 12  3  6 13  7]
 [ 7 12 58  2  7 16  5]
 [ 0  1  0  0  1  0  0]
 [ 0  5  3  0  7  2  0]
 [ 0  2  4  1  2  6  4]
 [ 0  4  1  1  6  3 53]]",2019-05-14 14:44:01.621099,0.007155418395996094,0.41502036782832025,2,0.42073360711468133,0.43790182083654905,0.0016736984252929688,100
0,0.5257142857142857,"[[27  0  0  0  0  1  0]
 [19 54 10  1 14 18 19]
 [ 5  6 65  5 11 11 14]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  6  2  2]
 [ 1  4  2  3  3 10 36]]",2019-05-14 14:44:01.639454,0.007179737091064453,0.3592029921061238,3,0.39268816361371695,0.3874041347406965,0.0016491413116455078,100
0,0.5457142857142857,"[[39  1  2  1  1  2  1]
 [ 0 42  2  2  8  1  1]
 [ 0  2 43  2  1  4  0]
 [ 0  0  0  0  0  0  0]
 [ 9 14 17  3 12 18 11]
 [ 2 10 12  3  4 11 10]
 [ 0  3  8  1  2  1 44]]",2019-05-14 14:44:01.657779,0.007086038589477539,0.4646594394930064,4,0.4654033198596098,0.5009812324608058,0.0016217231750488281,100
0,0.5457142857142857,"[[26  0  0  0  0  0  0]
 [16 51 20  5 18 19 14]
 [ 0  1 48  0  1  3  4]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  3  0  0]
 [ 0  1  4  2  4 13  1]
 [ 9  9  8  5  8  6 50]]",2019-05-14 14:44:01.677422,0.007314443588256836,0.43325578024891576,5,0.43561055387160164,0.5707234870392764,0.0018146038055419922,100
0,0.58,"[[34  3  5  0  1  5  0]
 [12 49 11  4  9 12 14]
 [ 3  8 58  4  9  6  7]
 [ 0  2  1  1  0  2  0]
 [ 0  0  2  0 11  6 11]
 [ 1  0  1  0  0  6  1]
 [ 0  1  1  0  2  3 44]]",2019-05-14 14:44:01.710572,0.0074520111083984375,0.4777618015265856,6,0.4811778107867619,0.5461494555147806,0.0017175674438476562,100
0,0.5942857142857143,"[[33  1  2  0  0  0  0]
 [11 51 10  3 10 21 14]
 [ 3  1 59  1  1  7  2]
 [ 0  0  0  1  0  0  0]
 [ 0  0  3  0  7  1  0]
 [ 3  9  5  4 10 13 11]
 [ 0  1  1  1  6  0 44]]",2019-05-14 14:44:01.729568,0.0073473453521728516,0.5088143750395349,7,0.4917354688354215,0.6916971308480742,0.0018057823181152344,100
0,0.5885714285714285,"[[42  4  1  2  9  3 12]
 [ 3 51 12  2 12 17 15]
 [ 0  0 57  2  0  7  4]
 [ 0  0  0  0  0  0  0]
 [ 4  2  5  0  5  2  4]
 [ 0  0  1  1  5  9  0]
 [ 0  1  3  2  4  5 42]]",2019-05-14 14:44:01.748726,0.007136821746826172,0.4515734678858007,8,0.479369457600757,0.48165716506173817,0.001781463623046875,100
0,0.5714285714285714,"[[40  6  6  4  8  8 10]
 [ 2 49  9  3  6 10  4]
 [ 6  2 58  1 10 11  7]
 [ 0  0  0  0  0  0  0]
 [ 0  0  1  0  1  0  0]
 [ 0  2  1  0  4  6  6]
 [ 2  2  5  0  7  7 46]]",2019-05-14 14:44:01.767983,0.007291555404663086,0.40667335983424924,9,0.4470072279229829,0.45302125428175194,0.0016736984252929688,100
