,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.6742857142857143,"[[44  5  5  1  2  5  3]
 [ 1 51  8  2  3  4  2]
 [ 2  4 53  2  1  5  0]
 [ 0  0  0  2  0  0  0]
 [ 1  1  1  0 13  3  0]
 [ 0  2  5  1  7 18 11]
 [ 2  3  8  1  6  7 55]]",2019-07-30 16:01:38.355328,0.030919313430786133,0.6059757941225069,0,0.6069012891151935,0.5924169729778381,0.7071872649887402,0.0006973743438720703,100
0,0.6714285714285714,"[[33  4  4  0  0  4  1]
 [ 4 47  4  0  6  4  1]
 [ 5  6 68  3  2  5  3]
 [ 0  0  0  2  0  2  0]
 [ 0  0  0  0 10  4  1]
 [ 4  5  2  3  6 10  0]
 [ 4  4  2  1  8 13 65]]",2019-07-30 16:01:38.427609,0.05239462852478027,0.5678757729590062,1,0.6008140662026628,0.5586330900264502,0.6198208634335931,0.0008234977722167969,100
0,0.64,"[[38  7  2  0  0  7  1]
 [ 2 46 12  0  3  5  3]
 [ 5  6 59  1  5  4  3]
 [ 0  0  0  1  1  0  0]
 [ 0  0  0  0 13  6  1]
 [ 1  1  2  5  2  6  2]
 [ 4  6  5  2  8 14 61]]",2019-07-30 16:01:38.511688,0.06043553352355957,0.5301797909406004,2,0.5631377843716809,0.5305489829307737,0.5893470374329913,0.0007414817810058594,100
0,0.6485714285714286,"[[32  8  3  1  1  3  1]
 [ 6 45  4  1  3  3  2]
 [ 4  7 65  1  5  7  2]
 [ 0  1  1  1  0  0  0]
 [ 0  1  2  0  9  6  3]
 [ 2  1  2  3  8 16  4]
 [ 6  3  3  2  6  7 59]]",2019-07-30 16:01:38.586594,0.04975748062133789,0.5381634760030575,3,0.5720902625666969,0.5340882270535188,0.5661239509646605,0.0010564327239990234,100
0,0.6371428571428571,"[[34  5  2  0  0  3  5]
 [ 2 42  4  0  3  4  3]
 [11 10 67  5  5 10  3]
 [ 0  0  0  1  0  1  1]
 [ 2  0  1  2 16  8  2]
 [ 0  2  3  0  3 10  4]
 [ 1  7  3  1  5  6 53]]",2019-07-30 16:01:38.667214,0.056287288665771484,0.5391500474732848,4,0.5597995418963301,0.5356498369727746,0.5747136181211399,0.0007960796356201172,100
0,0.66,"[[42  4  7  0  0 10  2]
 [ 1 45  5  2  3  1  2]
 [ 0 10 60  1  4  5  4]
 [ 0  0  0  2  0  0  0]
 [ 0  0  0  1  9  2  1]
 [ 4  3  2  2 12 17  6]
 [ 3  4  6  1  4  7 56]]",2019-07-30 16:01:38.748545,0.0524141788482666,0.5812834578492891,5,0.5880811632862676,0.5669692433097865,0.6966260513195278,0.004857063293457031,100
0,0.68,"[[37  5  2  0  0  3  1]
 [ 2 54  6  0  7  7  3]
 [ 4  3 67  0  2  8  3]
 [ 0  0  0  1  0  0  0]
 [ 2  0  0  0 14  3  4]
 [ 4  3  0  8  3 11  6]
 [ 1  1  5  0  6 10 54]]",2019-07-30 16:01:38.837359,0.06140303611755371,0.5752656801627124,6,0.6103829786102778,0.566680153068483,0.692681806773981,0.0007224082946777344,100
0,0.6285714285714286,"[[34  4  1  0  1  4  1]
 [ 2 48  3  4 10  9  5]
 [ 2  3 65  1  2  4  5]
 [ 0  1  0  0  0  1  0]
 [ 1  2  3  1  8  5  1]
 [ 7  5  2  3  6 10  4]
 [ 4  3  6  0  5  9 55]]",2019-07-30 16:01:38.925327,0.06274676322937012,0.4921893473939063,7,0.5478676173933645,0.4975022646702727,0.4946836333595916,0.0007421970367431641,100
0,0.6828571428571428,"[[37  5  4  0  1  8  2]
 [ 1 55  6  2  3  5  4]
 [ 5  3 63  2  3  7  2]
 [ 0  0  1  2  0  3  0]
 [ 2  1  2  0  9  1  1]
 [ 1  0  0  1  9 15  4]
 [ 4  2  4  2  7  3 58]]",2019-07-30 16:01:39.038813,0.088043212890625,0.5794883271243101,8,0.6148596364895759,0.5769071173070167,0.6049738316379184,0.0007565021514892578,100
0,0.6514285714285715,"[[36  4  2  1  0  6  9]
 [ 3 44  3  0  1  5  1]
 [ 4 11 71  4  8  6  3]
 [ 0  0  0  1  0  0  2]
 [ 0  3  0  0 14  5  2]
 [ 3  2  1  2  4 11  3]
 [ 4  2  3  1  5  9 51]]",2019-07-30 16:01:39.114690,0.049689531326293945,0.5471854750465627,9,0.5769775120886954,0.5432846284053527,0.5822734959066523,0.0009102821350097656,100
