,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.6171428571428571,"[[33  8  2  0  2  4  2]
 [ 1 49  8  4  3  9  3]
 [ 1  2 53  4  0  4  0]
 [ 0  0  0  1  0  0  0]
 [ 1  3  2  0  4  2  2]
 [ 0  3  6  0 13 17  5]
 [14  1  9  0 10  6 59]]",2019-07-30 16:01:45.924036,0.042127132415771484,0.5054672386724052,0,0.5371675526367254,0.505254739112888,0.6256549968472236,0.0006830692291259766,100
0,0.6628571428571428,"[[38  4  2  1  2  3  5]
 [ 0 48  6  1  4  6  1]
 [ 2  2 62  1  3  2  3]
 [ 0  1  0  0  0  1  0]
 [ 1  0  0  0  9  6  2]
 [ 3  3  5  4  7 16  1]
 [ 6  8  5  2  7  8 59]]",2019-07-30 16:01:46.011568,0.06739521026611328,0.5309981932816127,1,0.5913604759517879,0.5364944319597237,0.5394510752405489,0.0007021427154541016,100
0,0.6457142857142857,"[[35  6  1  1  4  6  2]
 [ 5 49  6  1  3 11  3]
 [ 1  4 70  1  4  5  3]
 [ 0  1  0  0  0  0  1]
 [ 3  1  1  0  9  5  4]
 [ 0  1  0  5  6  6  1]
 [ 6  4  2  1  6  9 57]]",2019-07-30 16:01:46.099652,0.06414580345153809,0.4907598321532748,2,0.5690917770932815,0.5063354695271194,0.491100766689675,0.0010402202606201172,100
0,0.66,"[[34 10  1  0  3  3  3]
 [ 1 42  0  1  4  4  4]
 [ 2  7 67  4  2  6  2]
 [ 0  0  0  1  0  0  0]
 [ 3  2  2  1  9  5  4]
 [ 0  2  5  0  9 21  1]
 [10  3  5  2  5  3 57]]",2019-07-30 16:01:46.185081,0.06106305122375488,0.5566742994975962,3,0.5868738807147595,0.5498630926975998,0.6704925334956295,0.0007646083831787109,100
0,0.6885714285714286,"[[38  5  1  0  3  4  7]
 [ 2 50  1  0  2  4  2]
 [ 4  6 73  7  1  7  3]
 [ 0  2  0  1  0  2  0]
 [ 3  2  0  0 14  5  1]
 [ 0  0  0  0  5 11  4]
 [ 3  1  5  1  7  9 54]]",2019-07-30 16:01:46.277523,0.06846356391906738,0.5716986890786383,4,0.6226980283519423,0.5715935729819029,0.5975166888811954,0.0006949901580810547,100
0,0.6314285714285715,"[[37  6  3  0  5  7  5]
 [ 1 44  6  3  4  4  4]
 [ 4  7 62  5  2  8  1]
 [ 0  0  0  0  1  0  0]
 [ 3  0  0  0  9  7  0]
 [ 1  3  1  0  6  9  1]
 [ 4  6  8  1  5  7 60]]",2019-07-30 16:01:46.359966,0.057798147201538086,0.4906654195543339,5,0.5518886561159589,0.503181829069656,0.5017419665556863,0.0007481575012207031,100
0,0.66,"[[33  3  5  0  7  5  4]
 [ 7 53  2  1  4  6  3]
 [ 1  2 65  0  3  4  2]
 [ 0  1  0  1  0  0  2]
 [ 1  1  2  0 12  5  3]
 [ 4  2  4  6  2 13  3]
 [ 4  4  2  1  4  9 54]]",2019-07-30 16:01:46.461194,0.07654666900634766,0.5486688344562232,6,0.5874807729074522,0.5473898005638448,0.5635903238733845,0.0006973743438720703,100
0,0.64,"[[40  5  2  0  2  4  4]
 [ 1 47  4  0  5  5  2]
 [ 1  4 60  5  3  5  5]
 [ 0  4  1  1  0  1  0]
 [ 0  1  4  0  8  5  0]
 [ 2  1  1  2  5 10  2]
 [ 6  4  8  1  9 12 58]]",2019-07-30 16:01:46.568666,0.08254885673522949,0.520859947676269,7,0.5638748028657399,0.5254612813968951,0.5389916975601557,0.0006983280181884766,100
0,0.7,"[[42  3  1  0  1  5  6]
 [ 0 55  3  2  5  9  3]
 [ 0  4 70  3  4  4  3]
 [ 0  1  0  1  0  1  0]
 [ 3  0  2  0 10  5  1]
 [ 1  3  2  3  3 13  4]
 [ 4  0  2  0  9  5 54]]",2019-07-30 16:01:46.671840,0.07706737518310547,0.5764845438400104,8,0.6355299481310316,0.5774330906071349,0.603058227442464,0.0008375644683837891,100
0,0.6885714285714286,"[[38  3  1  0  2  5  2]
 [ 3 46  2  0  2  5  1]
 [ 5  8 68  7  3  7  2]
 [ 0  2  1  1  0  0  0]
 [ 0  1  0  0 20  6  3]
 [ 0  2  3  1  2  8  3]
 [ 4  4  5  0  3 11 60]]",2019-07-30 16:01:46.756697,0.058963775634765625,0.5806895714431902,9,0.622867893689537,0.58266106015603,0.604590503832035,0.0007112026214599609,100
