,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.6571428571428571,"[[44  5  0  1  0  2  1]
 [ 0 44  1  3  4  3  1]
 [ 0  0 71  2  1  7  2]
 [ 0  0  0  0  0  0  0]
 [ 0  0  3  0  8  6  0]
 [ 0  6  0  0  1  2  0]
 [ 4 14  3  5 21 24 61]]",2019-05-30 16:51:14.619807,0.0013914108276367188,0.4942468646085229,0,0.6000956377998246,0.5252988212615541,0.5180366173348727,0.0008094310760498047,100
0,0.6714285714285714,"[[41  1  3  2  1  1  0]
 [ 0 51  0  2  6  4  3]
 [ 0  2 74  1  0  7  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  7  6  0]
 [ 0  4  0  2  2  6  1]
 [ 7  9 11  2 18 20 56]]",2019-05-30 16:51:14.641665,0.0026285648345947266,0.5122896090159893,1,0.6138580731327494,0.5331213014378072,0.5548800626948959,0.0009169578552246094,100
0,0.6714285714285714,"[[45  4  0  0  3  2  2]
 [ 2 52  5  6  7 12  5]
 [ 2  3 72  2  5 11  5]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  7  4  2]
 [ 0  2  0  0  0  6  0]
 [ 1  3  3  1 11 12 53]]",2019-05-30 16:51:14.666805,0.0025501251220703125,0.5076159378715357,2,0.6064085188627985,0.5347607946726713,0.5753221444152423,0.0007719993591308594,100
0,0.6714285714285714,"[[39  4  1  0  0  4  2]
 [ 8 54  4  5  9 10  4]
 [ 2  2 71  2  4  5  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  1  0  0  1  0]
 [ 0  5  0  0 10 13  3]
 [ 1  1  4  1 14  7 58]]",2019-05-30 16:51:14.691978,0.002640962600708008,0.48852600451192,3,0.6037469128908542,0.52180945778985,0.46633335464145886,0.0006253719329833984,100
0,0.6457142857142857,"[[32  0  0  0  0  3  0]
 [14 54  7 10  5 21  8]
 [ 1  0 69  0  2  0  0]
 [ 0  0  0  0  0  0  0]
 [ 1  0  1  0  4  2  0]
 [ 0  3  4  0 14  8  4]
 [ 6  1  5  1  5  6 59]]",2019-05-30 16:51:14.717766,0.0025441646575927734,0.4855180715507053,4,0.5814144444054754,0.4986102722246933,0.5399525965917583,0.0006344318389892578,100
0,0.64,"[[41  0  0  0  1  0  0]
 [ 6 45  5  8  9 18 11]
 [ 3  2 67  0  0  4  1]
 [ 0  0  0  0  0  0  0]
 [ 0  1  1  0 10  9  1]
 [ 1  8  7  1  5  8  8]
 [ 2  3  4  1  4  2 53]]",2019-05-30 16:51:14.754156,0.0027043819427490234,0.5129156417337698,5,0.5674294066856727,0.5128687959041185,0.5315263613246423,0.01136016845703125,100
0,0.6428571428571429,"[[46  1  2  2  1  0  2]
 [ 2 37  1  1  0  8  2]
 [ 0  1 65  1  0  6  0]
 [ 0  1  1  1  0  0  0]
 [ 1 20  1  1 12 12  2]
 [ 0  3  0  0  1  5  0]
 [ 3  6 13  3 12 15 59]]",2019-05-30 16:51:14.779341,0.0017039775848388672,0.5224091317487544,6,0.5805950485920246,0.5418596187585187,0.5904387694912124,0.0006601810455322266,100
0,0.6714285714285714,"[[41 12  4  5  5  6  4]
 [ 0 50  4  4  6  7  5]
 [ 2  1 69  1  4  8  1]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  5  3  0]
 [ 0  1  0  0  3 13  3]
 [ 2  2  4  1 10  6 57]]",2019-05-30 16:51:14.805303,0.002788066864013672,0.5140818290035079,7,0.6055984302450107,0.5396225809822279,0.5561950510685791,0.0006165504455566406,100
0,0.6857142857142857,"[[43  2  1  0  1  5  1]
 [ 4 52  4  3  5 15  5]
 [ 1  4 73  1  2  7  2]
 [ 0  0  0  1  0  0  0]
 [ 0  2  1  0 10  4  1]
 [ 0  0  0  1  3  5  3]
 [ 3  6  2  2  8 11 56]]",2019-05-30 16:51:14.838408,0.0025415420532226562,0.5558919003323831,8,0.6211545102704957,0.5617129410538556,0.6888466879032917,0.006520748138427734,100
0,0.6857142857142857,"[[39  2  1  1  1  2  0]
 [ 2 54  2  2  6  7  1]
 [ 3  4 71  2  3 11  5]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  7  2  0]
 [ 0  2  0  2  0  6  1]
 [ 3  4  3  5 18 15 63]]",2019-05-30 16:51:14.864741,0.0025942325592041016,0.5219275811078903,9,0.6257216569195433,0.5442259797176033,0.5979324892368371,0.0006082057952880859,100
0,0.664,"[[24  2  0  2  1  3  2]
 [ 3 37  7  2  7  8  5]
 [ 0  1 47  1  2  8  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  5  6  2]
 [ 0  3  1  2  0  6  1]
 [ 1  0  2  0  8  4 47]]",2019-05-30 16:51:14.892715,0.004627704620361328,0.5089923436931316,0,0.5959115053876106,0.5365072366022668,0.5204203955390787,0.0005171298980712891,200
0,0.744,"[[33  1  0  1  0  1  0]
 [ 3 40  2  5  2  8  3]
 [ 1  2 50  1  1  3  3]
 [ 0  1  0  0  0  0  0]
 [ 0  2  0  0 11  1  2]
 [ 0  3  1  0  2 10  2]
 [ 0  0  1  0  9  3 42]]",2019-05-30 16:51:14.919449,0.004922151565551758,0.609162581441313,1,0.6896529305245938,0.6094931486768221,0.6254216217038231,0.0005536079406738281,200
0,0.7,"[[31  0  0  0  0  1  2]
 [ 2 40  1  3  1  7  1]
 [ 1  3 51  0  2  3  3]
 [ 0  1  0  0  0  0  0]
 [ 0  4  1  0  6  5  0]
 [ 1  4  2  3  2  9  6]
 [ 0  0  2  1  9  4 38]]",2019-05-30 16:51:14.948190,0.005052328109741211,0.5545350587958123,2,0.6334737171699576,0.5600038178052179,0.5515140399594182,0.00052642822265625,200
0,0.768,"[[39  1  0  0  0  0  1]
 [ 2 40  1  0  2  8  2]
 [ 0  1 57  0  2  3  2]
 [ 0  0  1  0  0  0  2]
 [ 0  0  1  0  7  3  2]
 [ 0  4  1  1  1 11  4]
 [ 1  1  0  1  7  3 38]]",2019-05-30 16:51:14.975977,0.004530191421508789,0.6073475293731951,3,0.7154356184017874,0.6029196746530382,0.61985355629545,0.0005462169647216797,200
0,0.744,"[[34  0  0  1  0  0  1]
 [ 3 35  3  1  1  8  3]
 [ 2  2 53  2  0  6  2]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 12  5  1]
 [ 0  2  2  0  3 11  1]
 [ 1  1  2  1  4  6 41]]",2019-05-30 16:51:15.003869,0.004680156707763672,0.6123706701116048,4,0.6911724762501992,0.62151765468092,0.6230563229917959,0.0005369186401367188,200
0,0.724,"[[28  2  0  0  0  3  1]
 [ 1 40  4  1  2  3  1]
 [ 0  0 58  0  0  5  2]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  5  2  1]
 [ 0  1  0  1  5  7  0]
 [ 0  3  2  2 13 13 43]]",2019-05-30 16:51:15.047840,0.005448341369628906,0.5545332682503396,5,0.6689208113790914,0.5758265166601557,0.5866304146489905,0.015407085418701172,200
