,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.6571428571428571,"[[42  2  0  2  2  4  3]
 [ 6 51  8  4 15 24 10]
 [ 0  2 73  0  6  8  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  1  0]
 [ 0  0  1  0  1  3  1]
 [ 0  3  0  4  7  6 57]]",2019-05-30 16:51:16.223039,0.0014691352844238281,0.4763622129105012,0,0.5989393985180069,0.5181248934664462,0.5794748875468194,0.008624553680419922,100
0,0.6942857142857143,"[[41 10  2  2  1  3  2]
 [ 0 50  1  2  3  3  3]
 [ 1  2 68  3  3  6  1]
 [ 0  0  0  1  0  0  0]
 [ 0  2  2  0  6  3  0]
 [ 1  2  4  1 11 17  5]
 [ 2  5  4  0  9  8 60]]",2019-05-30 16:51:16.244778,0.0026183128356933594,0.569292380274306,1,0.6298505728643435,0.5739774787896853,0.6922996228094466,0.0007374286651611328,100
0,0.7,"[[50  6  0  2  1 10  1]
 [ 0 45  6  3  6 10  4]
 [ 0  5 71  1  2  6  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 14  6  0]
 [ 0  1  1  0  0  3  0]
 [ 0  6  2  5  9 11 62]]",2019-05-30 16:51:16.269389,0.002415180206298828,0.5375048743219644,2,0.6437000484100939,0.5737525444960594,0.5858009709557183,0.0007338523864746094,100
0,0.6885714285714286,"[[41  3  3  2  2  4  2]
 [ 6 52 10  4 11 12  5]
 [ 1  1 66  1  2  8  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  1  0 10  3  1]
 [ 0  3  1  2  4 10  2]
 [ 0  4  0  1  5  5 62]]",2019-05-30 16:51:16.294358,0.002717733383178711,0.542409603025018,3,0.6263585650975799,0.5553860433062113,0.5715926014279492,0.0006043910980224609,100
0,0.6514285714285715,"[[45  1  1  2  1  2  4]
 [ 3 49  1  2  4  5  9]
 [ 2 10 64  6 11 18  5]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  8  7  2]
 [ 0  2  3  0  1 10  0]
 [ 1  6  4  1  6  2 52]]",2019-05-30 16:51:16.319606,0.0025606155395507812,0.5146135032082253,4,0.5812195563781452,0.5267447101230991,0.5491912715330188,0.0006320476531982422,100
0,0.6771428571428572,"[[50  4  0  1  0  8  0]
 [ 0 53  5  3  9 11  7]
 [ 0  2 62  1  4  7  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 10  6  0]
 [ 0  1  1  1  2  4  0]
 [ 3  5  7  3 10  9 58]]",2019-05-30 16:51:16.359980,0.0026633739471435547,0.5160050972627749,5,0.6147667328182556,0.5447131227914485,0.5515292011056739,0.015185832977294922,100
0,0.7314285714285714,"[[43  6  1  2  3 10  2]
 [ 1 54  1  1  3  4  1]
 [ 0  3 77  1  5 11  2]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 13  6  1]
 [ 0  0  0  0  0  5  0]
 [ 1  6  2  5  7  9 64]]",2019-05-30 16:51:16.388016,0.0027365684509277344,0.5599535105875866,6,0.6808462027889087,0.5905047427521214,0.6544555881647022,0.0022330284118652344,100
0,0.6628571428571428,"[[31  0  0  1  0  1  2]
 [15 52 13  4  4 11  8]
 [ 2  5 65  2  3  7  2]
 [ 1  0  0  0  0  0  0]
 [ 1  2  0  0 15  9  1]
 [ 3  1  1  0  0 10  3]
 [ 1  1  1  1  8  4 59]]",2019-05-30 16:51:16.415690,0.002993345260620117,0.5337215345659417,7,0.59648805180688,0.5376849993184888,0.5722065793643402,0.0011792182922363281,100
0,0.7114285714285714,"[[44  1  1  0  1  2  1]
 [ 4 54 10  3  8  9  3]
 [ 0  1 66  1  0  2  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  1 12  7  0]
 [ 1  3  1  1  0 13  4]
 [ 3  3  4  4 11 10 60]]",2019-05-30 16:51:16.446834,0.002592802047729492,0.5740796745100907,8,0.6550444501578753,0.5812700622366388,0.5999686281240135,0.00415349006652832,100
0,0.6942857142857143,"[[43  2  0  1  3  5  0]
 [ 5 51  5  3  5  5  4]
 [ 1  4 71  0  2  3  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  1  0  0  2  0]
 [ 1  3  5  1 12 16  1]
 [ 0  4  2  4 11 11 62]]",2019-05-30 16:51:16.473849,0.0024552345275878906,0.5087354928550697,9,0.630854837184914,0.5421185974389756,0.48368956957436454,0.0006532669067382812,100
