,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.6142857142857143,"[[31  0  0  0  1  1  3]
 [19 55  5  7 11 26 22]
 [ 0  1 75  1 10  8  2]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  5  0  1]
 [ 0  2  0  3  0  5  0]
 [ 0  1  1  0  8  2 44]]",2019-05-30 16:51:17.898366,0.001566171646118164,0.4609360970540307,0,0.5553281237974014,0.4787350269674725,0.5903807073249966,0.004311800003051758,100
0,0.7142857142857143,"[[44  3  3  1  1  0  1]
 [ 1 53  6  3  1  6  1]
 [ 0  4 72  0  1  3  0]
 [ 0  0  0  0  0  1  1]
 [ 0  1  1  1 12  6  0]
 [ 0  1  1  1  3  7  1]
 [ 1  8  6  2 13 17 62]]",2019-05-30 16:51:17.923733,0.003063201904296875,0.5603002991172269,1,0.6578446518843551,0.5748777248436748,0.5881290661946903,0.0039904117584228516,100
0,0.6914285714285714,"[[45  2  3  0  0  5  0]
 [ 2 53  7  6  4 12  7]
 [ 0  2 70  0  4  1  2]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  8  3  0]
 [ 1  1  1  1  4  8  1]
 [ 1  3  3  4 15 13 58]]",2019-05-30 16:51:17.951142,0.0025565624237060547,0.5348130818033586,2,0.6319217977328244,0.5560774192581014,0.5832106366947473,0.0026397705078125,100
0,0.6714285714285714,"[[27  0  0  0  0  0  0]
 [19 56  4  2  3 11  8]
 [ 4  3 71  5  5 10  7]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  1 14  7  1]
 [ 1  1  0  0  0 11  0]
 [ 6  2  3  1  7  4 56]]",2019-05-30 16:51:17.976585,0.0028226375579833984,0.5386631202030491,3,0.6092871253713896,0.5433595398843063,0.626227150628608,0.0008258819580078125,100
0,0.6085714285714285,"[[28  1  0  0  0  0  0]
 [10 49  2  2  2 11  5]
 [16 15 64  7 10 18  8]
 [ 0  0  0  0  0  1  0]
 [ 1  0  0  0  9  3  0]
 [ 0  2  0  1  1  5  3]
 [ 1  1  0  1 11  4 58]]",2019-05-30 16:51:18.001724,0.0024924278259277344,0.47054507099341375,4,0.5403178308896219,0.48083484007853755,0.5580508403767827,0.0006852149963378906,100
0,0.6685714285714286,"[[44  6  4  1  3  6  2]
 [ 1 54  3  3  6 16  8]
 [ 1  4 68  2  2  5  8]
 [ 0  0  0  0  0  0  0]
 [ 0  1  2  2 13  6  2]
 [ 0  0  1  0  0  4  0]
 [ 1  0  2  3  7  8 51]]",2019-05-30 16:51:18.046715,0.00260162353515625,0.5143565454883573,5,0.6035007590413994,0.5490704328983835,0.5748517355660212,0.01979374885559082,100
0,0.7057142857142857,"[[41  4  0  1  2  2  2]
 [ 4 56  9  2  6 16  4]
 [ 0  1 68  4  5  4  3]
 [ 0  1  0  0  0  1  0]
 [ 0  0  0  1  9  4  0]
 [ 4  0  1  0  0 11  2]
 [ 1  1  1  1 11  5 62]]",2019-05-30 16:51:18.081379,0.002973318099975586,0.5538320460599359,6,0.6466389312002069,0.5639292396097957,0.5965495630048955,0.0007059574127197266,100
0,0.6971428571428572,"[[44  2  1  1  0  2  1]
 [ 1 57  4  3  8 13 11]
 [ 1  3 72  2  3  7  3]
 [ 0  0  0  0  0  2  0]
 [ 0  0  0  1  7  5  0]
 [ 2  0  2  2  4  9  3]
 [ 1  2  1  0 10  5 55]]",2019-05-30 16:51:18.120146,0.002509593963623047,0.5380733292973521,7,0.6347961712129403,0.552865880969873,0.5617683494318684,0.010860681533813477,100
0,0.6971428571428572,"[[43  3  3  1  5  4  2]
 [ 2 56  3  4  1 12  6]
 [ 0  5 75  3  6 12  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  8  1  0]
 [ 1  0  0  1  0  8  1]
 [ 0  2  3  1 13  8 54]]",2019-05-30 16:51:18.154357,0.0025665760040283203,0.535662552723842,8,0.6363604717570176,0.5592154912030689,0.6250809754908115,0.0027523040771484375,100
0,0.7057142857142857,"[[41  3  1  2  1  1  0]
 [ 7 55  7  2  4 16  6]
 [ 0  2 74  1  0  3  4]
 [ 0  0  0  0  0  2  1]
 [ 2  0  1  1 15  8  4]
 [ 1  1  0  0  0  6  0]
 [ 0  2  2  1  7 10 56]]",2019-05-30 16:51:18.182652,0.0025386810302734375,0.5534830141217107,9,0.6483062009064507,0.57460691563827,0.6052167242569908,0.0012617111206054688,100
