,accuracy,confusion,datetime,execution_time,f1,fold,precision,recall,test_time,train_size
0,0.6885714285714286,"[[43  2  1  1  1  2  0]
 [ 0 48  7  0  5  9  1]
 [ 1  0 73  2  5  6  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  7  5  1]
 [ 1  1  0  0  2  4  1]
 [ 3 11  3  6 14 18 66]]",2019-05-15 16:21:32.694769,0.0023527145385742188,0.5145967851469634,0,0.5417696691069646,0.559022181977847,0.0009918212890625,100
0,0.68,"[[42  2  0  0  0  3  2]
 [ 2 50  3  1  2  4  1]
 [ 5  7 73  7 10 24  8]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  6  1  0]
 [ 0  1  0  0  3  4  1]
 [ 0  1  0  2 13  9 63]]",2019-05-15 16:21:32.716010,0.002470731735229492,0.51038139646156,1,0.5346715401720078,0.6018665946704326,0.0010170936584472656,100
0,0.6628571428571428,"[[37  1  0  2  0  1  1]
 [ 7 56  7  5 11 20 15]
 [ 0  4 72  2  6 10  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  2  0]
 [ 0  1  1  1  6  8  4]
 [ 1  1  0  1  4  1 55]]",2019-05-15 16:21:32.739587,0.002379179000854492,0.5033080001439416,2,0.5193925378257175,0.5723807514542553,0.001039743423461914,100
0,0.7371428571428571,"[[45  3  0  2  0  1  0]
 [ 0 53  2  1  1  1  2]
 [ 0  3 79  0  2  5  0]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  3  3  1]
 [ 1  1  2  1  5 14  1]
 [ 1  5  7  4 21 16 64]]",2019-05-15 16:21:32.763297,0.0023076534271240234,0.5602623341158174,3,0.5765050960373238,0.5977530048393381,0.0010292530059814453,100
0,0.5514285714285714,"[[29  2  0  0  1  0  0]
 [ 1 35  0  0  0  1  0]
 [17 33 76 10 23 29 26]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  2  3]
 [ 2  0  0  0  1  6  3]
 [ 1  0  0  1  1  0 43]]",2019-05-15 16:21:32.787043,0.0023031234741210938,0.434504659780421,4,0.4206516290726817,0.5837947408574186,0.0008513927459716797,100
0,0.6657142857142857,"[[32  1  0  0  0  0  0]
 [ 6 49  2  2  2  8  3]
 [13  6 74  4  5 15  3]
 [ 0  0  0  1  0  0  0]
 [ 1  0  0  0  9  1  0]
 [ 1  0  0  0  6  8  1]
 [ 0 14  4  2  6 11 60]]",2019-05-15 16:21:32.817737,0.002310514450073242,0.54839415869595,5,0.5346974524475645,0.7433796730188484,0.005530834197998047,100
0,0.74,"[[42  5  1  0  0  0  1]
 [ 0 54  1  0  1  4  2]
 [ 3  4 77  7  8 20  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0 12  3  0]
 [ 1  0  1  0  1  6  0]
 [ 0  4  1  3  7 10 68]]",2019-05-15 16:21:32.857644,0.002374410629272461,0.5815193645721928,6,0.591696831079049,0.6510153717753626,0.0010755062103271484,100
0,0.6885714285714286,"[[30  0  0  0  0  0  0]
 [11 57  1  0  3  3  1]
 [ 6  0 79  3 10 25  4]
 [ 0  0  0  0  0  0  0]
 [ 1  0  0  0  3  0  1]
 [ 0  1  0  0  7  6  0]
 [ 5  6  0  5  7  9 66]]",2019-05-15 16:21:32.885134,0.0028808116912841797,0.49412682573695754,7,0.5143377551766648,0.5820125800601454,0.0010876655578613281,100
0,0.6714285714285714,"[[41  2  0  0  0  3  1]
 [ 4 53  6  3  1  7  3]
 [ 4  6 70  7 15 18  5]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  2  1]
 [ 0  1  0  0  7  6  0]
 [ 0  2  4  1  7  5 61]]",2019-05-15 16:21:32.934967,0.002567291259765625,0.5014453335498901,8,0.5232861636704541,0.5547360162633719,0.0009627342224121094,100
0,0.6742857142857143,"[[36  4  0  1  0  2  1]
 [ 7 52 10  1  6 11  2]
 [ 0  1 68  2  4  2  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  4  1  0]
 [ 0  1  0  0  8  8  0]
 [ 3  8  5  4 10 19 68]]",2019-05-15 16:21:32.966777,0.0025641918182373047,0.5025925487556424,9,0.5207507925767212,0.589433024198391,0.0008542537689208984,100
