,accuracy,confusion,datetime,execution_time,f1,fold,precision,recall,test_time,train_size
0,0.6571428571428571,"[[34  2  0  0  1  1  0]
 [10 54  5  2 14 15  8]
 [ 4  1 72  1  4  9  6]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  2  0  0]
 [ 1  5  1  4  5 13  4]
 [ 3  0  2  2  7  3 55]]",2019-05-06 15:35:29.739047,0.0012402534484863281,0.48980953578982156,0,0.5079882549505217,0.6135475951672371,0.0006365776062011719,100
0,0.6457142857142857,"[[34  1  0  0  0  2  1]
 [ 7 53  1  1 12  6  1]
 [ 6  5 70  5  4 12  7]
 [ 0  0  0  0  0  0  0]
 [ 0  0  2  0  5  5  0]
 [ 1  3  1  1  3  8  1]
 [ 4  9  4  2  8  9 56]]",2019-05-06 15:35:29.752564,0.001714944839477539,0.4863410330922185,1,0.4989959947832182,0.523009489700999,0.0005650520324707031,100
0,0.6371428571428571,"[[33  0  0  0  1  0  0]
 [11 53  3  7 11 18  9]
 [ 3  3 64  0  2  5  2]
 [ 0  1  0  0  0  0  0]
 [ 0  0  0  0  7  7  0]
 [ 0  1  6  1  0  4  0]
 [ 6  1 10  2  8  9 62]]",2019-05-06 15:35:29.768759,0.0018448829650878906,0.4806870467163944,2,0.4965355094544363,0.531416499692101,0.0005433559417724609,100
0,0.6657142857142857,"[[41  7  0  0  0  3  3]
 [ 2 47  4  3 10  8  4]
 [ 3  5 70  6  8 13 10]
 [ 0  0  0  0  0  0  0]
 [ 1  0  0  0  7  2  3]
 [ 0  5  2  2  2 13  3]
 [ 1  1  2  0  3  1 55]]",2019-05-06 15:35:29.785005,0.0017323493957519531,0.525776538259912,3,0.5340201465201465,0.5519254152794525,0.0005488395690917969,100
0,0.6657142857142857,"[[40  2  1  0  1  0  7]
 [ 6 52  0  1  5  8  2]
 [ 2  3 72  2  4  9  4]
 [ 0  3  1  0  0  1  0]
 [ 0  0  0  0  4  3  0]
 [ 2 10  4  2 14 15 12]
 [ 0  0  2  0  5  1 50]]",2019-05-06 15:35:29.801598,0.0017507076263427734,0.5138375639389933,4,0.5194487623059051,0.5606787504677577,0.0005509853363037109,100
0,0.6828571428571428,"[[36  0  1  1  0  0  2]
 [ 6 52  6  2  5 11  3]
 [ 2  2 72  3  0  7  1]
 [ 0  0  0  0  0  0  0]
 [ 1  2  0  0  7  2  1]
 [ 0  5  1  2  3 10  1]
 [ 5  1  6  2 14 13 62]]",2019-05-06 15:35:29.819976,0.0019567012786865234,0.5282345117428283,5,0.5365101021912762,0.5620428076226733,0.0013790130615234375,100
0,0.6342857142857142,"[[34  0  1  1  0  0  0]
 [10 54  3  2 15 19  7]
 [ 1  3 72  2  6  7  9]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  1  0  0]
 [ 2  3  1  3  2 10  1]
 [ 4  2  4  3 13  4 51]]",2019-05-06 15:35:29.838121,0.0017139911651611328,0.4664103235916632,6,0.4933643320740095,0.6056469456469457,0.0006146430969238281,100
0,0.6514285714285715,"[[42  3  1  0  1  2  0]
 [ 0 51  2  3 11  9  3]
 [ 1  4 69  6  4 12  4]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  6  4  0]
 [ 0  2  0  0  0  2  0]
 [ 7  4 11  2 10 16 58]]",2019-05-06 15:35:29.855157,0.001734018325805664,0.4791052989166689,7,0.5132074911367079,0.547107073490437,0.0005609989166259766,100
0,0.6685714285714286,"[[39  6  1  2  0  1  0]
 [ 0 41  0  1  5  3  2]
 [ 3  3 77  1  5  7  4]
 [ 0  1  0  0  0  0  1]
 [ 0  1  1  0  5  4  0]
 [ 1  4  1  2  6 14  4]
 [ 4 14  4  1 11 12 58]]",2019-05-06 15:35:29.872403,0.0017876625061035156,0.5154610976949268,8,0.5243516158860827,0.5434453811494627,0.0005390644073486328,100
0,0.6542857142857142,"[[45  8  3  0  0  3  3]
 [ 2 47  3  1  5  9  4]
 [ 0  5 67  2  8  6  2]
 [ 0  1  0  1  0  0  0]
 [ 0  0  0  1  3  2  0]
 [ 0  1  4  1 12 17 12]
 [ 3  4  5  1  6  4 49]]",2019-05-06 15:35:29.889908,0.0018384456634521484,0.5310713266472692,9,0.5392744237384532,0.5963543443226277,0.0005154609680175781,100
0,0.724,"[[27  2  0  0  0  2  2]
 [ 2 43  2  3  4  3  3]
 [ 1  2 47  0  0  3  5]
 [ 0  0  0  0  0  0  0]
 [ 0  3  3  0  9  3  2]
 [ 0  7  2  4  2 14  3]
 [ 0  0  0  0  4  2 41]]",2019-05-06 15:35:29.909014,0.003037691116333008,0.5948146491500825,0,0.6070145602100488,0.5864333911380867,0.0004875659942626953,200
0,0.74,"[[38  0  1  0  0  0  2]
 [ 1 36  3  6  5  5  6]
 [ 2  1 55  1  3  6  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  7  4  1]
 [ 0  3  0  2  3 10  1]
 [ 0  0  0  1  2  3 39]]",2019-05-06 15:35:29.927258,0.0031642913818359375,0.5922887276602183,1,0.6023107878951498,0.6083483009115191,0.0004794597625732422,200
0,0.68,"[[27  1  0  1  1  3  4]
 [ 2 39  2  3  8  8  3]
 [ 1  0 52  0  0  2  1]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  3  0  1]
 [ 0  6  2  3  9 10  2]
 [ 0  0  6  1  6  4 39]]",2019-05-06 15:35:29.945429,0.003099679946899414,0.5226298969582613,2,0.549716749408194,0.5738899613899614,0.0004506111145019531,200
0,0.728,"[[31  2  1  1  1  3  1]
 [ 2 43  1  1  6  2  1]
 [ 1  1 54  1  1  3  1]
 [ 0  1  1  0  0  0  0]
 [ 1  0  0  0  5  3  0]
 [ 1  2  1  3  3 11  0]
 [ 0  2  3  2  8  7 38]]",2019-05-06 15:35:29.964188,0.0031518936157226562,0.5704403032120114,3,0.5862810305865741,0.5895033282130056,0.0004982948303222656,200
0,0.712,"[[26  0  0  1  1  2  4]
 [ 4 40  1  1  1 10  6]
 [ 1  2 55  2  1  5  0]
 [ 0  0  1  0  0  2  1]
 [ 2  1  0  0  8  3  0]
 [ 0  1  0  0  2  7  1]
 [ 2  0  4  0  9  1 42]]",2019-05-06 15:35:29.982840,0.003295421600341797,0.5576194758813888,4,0.5611906958511174,0.5949842842048,0.0004477500915527344,200
0,0.716,"[[29  1  0  0  0  3  1]
 [ 2 44  3  3  5 10  3]
 [ 1  2 50  1  1  4  1]
 [ 0  0  1  0  0  0  0]
 [ 0  1  0  0  7  2  1]
 [ 1  2  0  0  1  8  0]
 [ 0  1  3  1  7  9 41]]",2019-05-06 15:35:30.001776,0.0033690929412841797,0.5672531621542303,5,0.5780888486243866,0.6113095091408998,0.0004398822784423828,200
0,0.72,"[[30  2  2  0  0  2  1]
 [ 2 44  1  2  4  5  3]
 [ 2  2 49  1  3 10  2]
 [ 0  1  0  2  0  1  1]
 [ 0  0  0  0  8  3  1]
 [ 0  1  1  0  2  7  2]
 [ 0  0  0  0  6  7 40]]",2019-05-06 15:35:30.028500,0.0033512115478515625,0.6238072081126188,6,0.6335296185742549,0.6574446285738799,0.0076808929443359375,200
0,0.708,"[[32  0  0  1  0  1  1]
 [ 1 42  1  1  3  5  3]
 [ 2  3 54  1  0  4  3]
 [ 0  0  0  0  0  0  0]
 [ 0  0  0  0  2  1  2]
 [ 0  4  0  4 13 12  5]
 [ 0  1  1  1  7  4 35]]",2019-05-06 15:35:30.049710,0.00351715087890625,0.5430910202588594,7,0.5653287981859411,0.5571901502156243,0.0005035400390625,200
0,0.752,"[[35  3  1  1  0  1  2]
 [ 0 38  1  0  2  2  2]
 [ 0  0 56  1  0  6  1]
 [ 0  1  0  0  0  0  0]
 [ 0  1  0  0  9  3  0]
 [ 0  3  2  1  2 11  2]
 [ 2  0  2  0 13  7 39]]",2019-05-06 15:35:30.069367,0.003225088119506836,0.6010801521267176,8,0.6051293298137618,0.6240803954259105,0.00047135353088378906,200
0,0.728,"[[29  3  1  1  1  2  3]
 [ 3 45  3  1  1  5  1]
 [ 1  2 48  2  2  6  0]
 [ 0  0  0  0  0  0  0]
 [ 0  1  0  0  7  2  1]
 [ 0  2  0  0  5 11  2]
 [ 1  1  2  4  6  3 42]]",2019-05-06 15:35:30.088878,0.0031833648681640625,0.5808609090467891,9,0.5899712026921531,0.5961178790645308,0.0004470348358154297,200
