,accuracy,confusion,datetime,execution_time,f1,fold,mcc,precision,recall,test_time,train_size
0,0.7466209400847287,"[[ 35  25   3   1   3   0]
 [ 33 824 188  33  53  48]
 [  8 139 732 161  53  53]
 [  1  36 109 854  48  37]
 [  0  28  39  14 577  23]
 [  1  31  47  11  30 679]]",2019-08-22 13:18:48.757849,0.722193717956543,0.7127062391712581,0,0.6835148178490269,0.7038392118840555,0.7240368886886593,0.0253908634185791,1000
0,0.7375428686705668,"[[ 10   5   1   0   0   0]
 [ 50 819 209  45  36  40]
 [ 13 141 667 119  46  55]
 [  3  34 131 858  40  25]
 [  0  42  60  28 614  32]
 [  2  42  50  24  28 688]]",2019-08-22 13:18:49.768917,0.8576562404632568,0.6600719311299302,1,0.6720977906722845,0.6504390184348051,0.7252351527925066,0.021288394927978516,1000
0,0.7433931813596933,"[[ 37  28   1   0   0   0]
 [ 21 765 170  53  31  59]
 [  9 171 731 120  57  53]
 [  3  35 109 859  30  27]
 [  6  41  42  19 623  31]
 [  2  43  65  23  23 670]]",2019-08-22 13:18:50.651177,0.726494312286377,0.7145059520237244,2,0.6796820882613407,0.7079090288997714,0.7223621869892504,0.022102832794189453,1000
0,0.7437966512003228,"[[ 31  24   3   0   0   0]
 [ 34 822 192  44  42  40]
 [  4 141 673 125  71  60]
 [  2  24 133 864  16  18]
 [  5  32  53  22 613  38]
 [  2  40  64  19  22 684]]",2019-08-22 13:18:51.455578,0.6473958492279053,0.7051289680356159,3,0.6802859576032433,0.6965862460220595,0.7175337652682363,0.021334171295166016,1000
0,0.7433931813596933,"[[ 46  38   2   0   1   0]
 [ 19 768 196  37  48  43]
 [ 11 163 695 116  69  51]
 [  2  35 118 871  22  19]
 [  0  41  51  28 598  20]
 [  0  38  56  22  26 707]]",2019-08-22 13:18:52.363784,0.7500920295715332,0.7216733259563068,4,0.6800225807993503,0.7259844674033564,0.7180523245357611,0.0222017765045166,1000
0,0.7486382892878757,"[[ 40  16   1   0   2   0]
 [ 31 825 180  40  57  46]
 [  2 138 723 128  68  54]
 [  2  31 120 851  32  19]
 [  0  37  44  34 573  22]
 [  3  36  50  21  32 699]]",2019-08-22 13:18:53.316247,0.7920918464660645,0.7283474771869272,5,0.6861300595621042,0.7159652887702533,0.7453563415890411,0.025866985321044922,1000
0,0.7419810369174904,"[[ 24  10   3   1   2   0]
 [ 48 841 197  36  76  68]
 [  3 134 701 122  55  46]
 [  2  31 109 865  27  33]
 [  0  30  56  26 577  23]
 [  1  37  52  24  27 670]]",2019-08-22 13:18:54.340618,0.8536512851715088,0.6946248695254518,6,0.6779207019245473,0.6782510803231099,0.7287020734131189,0.02127861976623535,1000
0,0.7462174702440992,"[[ 18   3   3   0   3   0]
 [ 50 792 151  37  41  51]
 [  9 178 741 114  54  72]
 [  1  48 129 876  32  25]
 [  0  31  43  20 608  28]
 [  0  31  51  27  26 664]]",2019-08-22 13:18:55.098229,0.6028838157653809,0.6892536042148558,7,0.682468107946777,0.6711320057338629,0.7432268644231167,0.021361827850341797,1000
0,0.7452087956425257,"[[ 33  22   0   0   0   0]
 [ 29 793 177  49  44  48]
 [ 13 151 726 112  50  52]
 [  1  35 119 861  30  38]
 [  0  38  51  33 612  33]
 [  2  44  45  19  28 669]]",2019-08-22 13:18:56.004962,0.7490615844726562,0.7121634896437868,8,0.681813707448987,0.700637962433722,0.7290689010880875,0.02198314666748047,1000
0,0.7502521686503933,"[[ 45  32   1   4   2   0]
 [ 20 780 184  55  38  32]
 [  8 159 718 111  55  58]
 [  4  38 126 855  16  19]
 [  0  36  33  28 626  36]
 [  1  38  56  21  27 695]]",2019-08-22 13:18:56.934621,0.7711937427520752,0.727423442029315,9,0.6885758624492432,0.7303674993408649,0.7247890547436008,0.023447036743164062,1000
0,0.7760929997472833,"[[ 19   7   4   1   3   0]
 [ 38 677 133  26  23  35]
 [  3 112 616 113  46  29]
 [  2  24  87 692  22  22]
 [  0  26  31  17 501  18]
 [  0  19  22   8  15 566]]",2019-08-22 13:18:58.674655,1.58189058303833,0.7240273974644054,0,0.7201501722111129,0.7087459515052165,0.7523096828201825,0.017575979232788086,2000
0,0.7803891837250442,"[[ 34  31   3   1   1   1]
 [ 19 676 153  25  46  11]
 [  7  94 582  79  26  34]
 [  2  22  80 704  18  13]
 [  0  20  33  24 499  18]
 [  0  22  42  24  20 593]]",2019-08-22 13:19:00.538584,1.7273497581481934,0.7445588452574717,1,0.7266237844377202,0.7510338946706326,0.7398133393643702,0.01580977439880371,2000
0,0.7778620166793025,"[[ 37  26   3   1   2   1]
 [ 21 663 135  46  35  17]
 [  2 105 621  81  55  39]
 [  1  23  70 699  21  14]
 [  0  25  33  13 474  15]
 [  1  23  31  17  23 584]]",2019-08-22 13:19:02.451998,1.7578675746917725,0.7503345153301191,2,0.7229851019306118,0.7538306378810037,0.748334786600435,0.016733169555664062,2000
0,0.7690169320192065,"[[ 17   8   3   0   3   0]
 [ 41 678 158  41  33  42]
 [  3 102 593  89  48  36]
 [  1  26  66 704  16  15]
 [  0  25  42  12 489  15]
 [  0  26  31  11  21 562]]",2019-08-22 13:19:04.410041,1.811258316040039,0.7123341549228291,3,0.7116414760308668,0.6973296480234995,0.7440478323120229,0.016743183135986328,2000
0,0.7851908011119535,"[[ 34  27   2   0   3   0]
 [ 21 681 114  40  42  26]
 [  6  91 637 112  33  37]
 [  1  22  62 674  21   9]
 [  0  21  36  12 499  16]
 [  0  23  42  19  12 582]]",2019-08-22 13:19:06.162027,1.6036670207977295,0.7525213483962885,4,0.7322666001818022,0.7536916859446391,0.7524473941047439,0.016548633575439453,2000
0,0.7783674500884509,"[[ 41  28   3   1   1   0]
 [ 14 644 115  30  40  30]
 [  6 134 624  87  39  32]
 [  1  16  85 698  17  16]
 [  0  23  31  25 500  19]
 [  0  20  35  16  13 573]]",2019-08-22 13:19:08.121600,1.8214049339294434,0.7581797279800572,5,0.7236691602318304,0.7656553800189324,0.7524552459639042,0.01683211326599121,2000
0,0.7831690674753601,"[[ 17  10   3   1   1   0]
 [ 36 669 129  33  34  21]
 [  4 112 626  85  39  36]
 [  0  23  82 707  20  12]
 [  5  28  24  14 491  12]
 [  0  23  29  17  25 589]]",2019-08-22 13:19:09.931708,1.6331794261932373,0.7232102466603544,6,0.7290375828605443,0.7096008551045686,0.7510516906270613,0.018337488174438477,2000
0,0.790245135203437,"[[ 37  23   3   3   1   0]
 [ 19 655 103  31  21  25]
 [  2 102 657 106  39  27]
 [  3  30  68 682  23  17]
 [  0  32  38  22 512  17]
 [  1  23  24  13  14 584]]",2019-08-22 13:19:11.930898,1.8561444282531738,0.7629875253209741,7,0.738522952206065,0.7660845441220102,0.7604568699169748,0.018310546875,2000
0,0.7854435178165277,"[[ 31  23   2   1   0   0]
 [ 20 673 127  41  41  20]
 [  7 109 610  76  37  24]
 [  3  16  85 707  24  16]
 [  0  19  29  15 491  14]
 [  1  25  40  17  17 596]]",2019-08-22 13:19:14.085869,2.006302833557129,0.7505154747625143,8,0.7323781552753856,0.7467610812720523,0.7553628262503461,0.019264698028564453,2000
0,0.7882234015668436,"[[ 39  19   2   1   3   0]
 [ 19 672 122  19  24  30]
 [  2  96 630 101  42  41]
 [  1  28  76 692  15   7]
 [  0  24  24  26 509  15]
 [  1  26  39  18  17 577]]",2019-08-22 13:19:16.016768,1.7933833599090576,0.7682073214218971,9,0.7358969625187866,0.7690810272532076,0.7676275578071986,0.01701521873474121,2000
0,0.8038552587081501,"[[ 18   5   3   0   3   0]
 [ 26 526  97  21  13  25]
 [  1  79 478  78  28  20]
 [  2  12  51 524  11  11]
 [  0  13  19  14 394   8]
 [  0  11  19   3   7 437]]",2019-08-22 13:19:18.908994,2.759279251098633,0.7602228534156609,0,0.7551251495806778,0.7448170775623401,0.785945872605752,0.011341571807861328,3000
0,0.7943862022319919,"[[ 27  13   1   0   0   0]
 [ 17 511 108  20  17  22]
 [  1  78 457  67  34  25]
 [  2  20  56 529   6   6]
 [  0  15  20  13 393  16]
 [  0   9  25  11   6 432]]",2019-08-22 13:19:21.751234,2.7113277912139893,0.7737976212618153,1,0.7435134900624075,0.7668878720978863,0.7821818474576907,0.011335372924804688,3000
0,0.8038552587081501,"[[ 27  16   0   0   1   0]
 [ 17 502 102  19  24  16]
 [  1  67 477  64  30  13]
 [  0  22  45 534  12   6]
 [  1  22  21  11 382  11]
 [  1  17  22  12   7 455]]",2019-08-22 13:19:24.461806,2.5860769748687744,0.7773038281824105,2,0.7554401597764904,0.7744963713589782,0.7806735122898033,0.014448881149291992,3000
0,0.8045316198850186,"[[ 28  20   3   0   2   0]
 [ 13 504  91  27  19   6]
 [  3  80 480  63  25  23]
 [  2  11  45 529  18   9]
 [  0  12  30  12 385  10]
 [  1  19  18   9   7 453]]",2019-08-22 13:19:27.459055,2.8791496753692627,0.7735074066384705,3,0.7563704495500014,0.7784371636092572,0.7694366815350321,0.011588811874389648,3000
0,0.803517078119716,"[[ 24  20   0   1   0   0]
 [ 16 510  94  23  23  10]
 [  4  71 473  61  31  17]
 [  2  12  58 528  10  10]
 [  0  13  24  15 388  11]
 [  1  20  18  12   4 453]]",2019-08-22 13:19:30.072696,2.473078727722168,0.7665634435930307,4,0.7549936641121808,0.7648877031863579,0.7685609880552691,0.018584728240966797,3000
0,0.803517078119716,"[[ 25  21   0   0   0   0]
 [ 15 496  85  26  17   9]
 [  3  72 486  73  30  24]
 [  0  15  43 524  10   6]
 [  4  18  30   9 395  12]
 [  0  24  23   8   4 450]]",2019-08-22 13:19:32.793501,2.59348726272583,0.7690311414418781,5,0.7551557526906966,0.768589016058482,0.7699439045165276,0.012386322021484375,3000
