,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.82,"[[  0   0   0   0   0   0]
 [  9 134  21   1   4   6]
 [  0   2  56   2   2   6]
 [  0   1   2  56   2   1]
 [  0   1  12   5  71   7]
 [  0   0   3   1   2  93]]",2019-09-07 00:14:51.975516,112.63816094398499,0.6848493663319091,0.7761101549594004,lstm,0.6879749490962023,0.6952411294429796,1,12.74696946144104,1000
0,0.812,"[[  3   3   0   0   0   0]
 [  6 126  23   1   4   6]
 [  0   8  58   5   4   5]
 [  0   0   4  55   4   0]
 [  0   0   4   3  66   4]
 [  0   1   5   1   3  98]]",2019-09-07 00:16:57.960196,112.95572280883789,0.7462183168527835,0.7634434651260461,lstm,0.7319372310544584,0.7702670470240752,2,12.743659257888794,1000
0,0.804,"[[  5   6   2   0   0   4]
 [  4 130  28   1   5   6]
 [  0   1  47   4   3   1]
 [  0   0   2  56   3   0]
 [  0   0   9   4  68   6]
 [  0   1   6   0   2  96]]",2019-09-07 00:19:05.644643,114.33458185195923,0.7372936713303685,0.7577880241738135,lstm,0.7580311162607772,0.7490762491165678,3,13.06261396408081,1000
0,0.834,"[[  1   1   0   0   0   0]
 [  8 131  20   1   4   9]
 [  0   3  53   2   2   0]
 [  0   1   6  60   3   0]
 [  0   0  12   2  71   3]
 [  0   2   3   0   1 101]]",2019-09-07 00:21:12.672883,113.60579538345337,0.7266468322491079,0.7942422379178184,lstm,0.7196069505586623,0.7914075065775407,4,13.140478610992432,1000
0,0.834,"[[  5   4   0   0   0   2]
 [  4 130  18   1   3   2]
 [  0   2  51   2   5   2]
 [  0   0   1  57   1   0]
 [  0   0  12   3  70   3]
 [  0   2  12   2   2 104]]",2019-09-07 00:23:20.587942,113.4017686843872,0.7775146867961397,0.7931266374970369,lstm,0.7836020537733871,0.7856543610994282,5,14.225577592849731,1000
0,0.816,"[[  5   7   3   0   0   1]
 [  4 127  30   1   5   5]
 [  0   3  48   5   4   2]
 [  0   0   1  57   1   0]
 [  0   0   8   2  69   3]
 [  0   1   4   0   2 102]]",2019-09-07 00:25:27.775687,113.54715609550476,0.753273163099009,0.7715889379575294,lstm,0.7696522507553208,0.7614017612455858,6,13.357417583465576,1000
0,0.816,"[[  3   1   1   0   0   0]
 [  5 122  12   0   2   2]
 [  0  10  60   3   3   8]
 [  0   1  10  59   5   0]
 [  0   1   8   3  69   8]
 [  1   3   3   0   2  95]]",2019-09-07 00:27:38.856249,116.26283979415894,0.7502090032805503,0.7689971987962677,lstm,0.7426568834723636,0.7738069452395294,7,14.531482934951782,1000
0,0.838,"[[  5   4   1   0   0   0]
 [  4 127  16   1   4   6]
 [  0   5  61   2   8   2]
 [  0   1   5  61   2   0]
 [  0   0   8   1  66   6]
 [  0   1   3   0   1  99]]",2019-09-07 00:29:48.780419,116.03864789009094,0.7885718659142328,0.7969553462193214,lstm,0.7923606881345674,0.7894407688596828,8,13.605413675308228,1000
0,0.838,"[[  3   2   1   0   0   0]
 [  5 128  14   1   4   4]
 [  0   7  57   1   2   4]
 [  0   0   5  59   3   0]
 [  0   0  11   3  70   3]
 [  1   1   6   1   2 102]]",2019-09-07 00:31:58.552759,115.86172819137573,0.7652641641263639,0.7968504250191895,lstm,0.7569662082923229,0.7851965508754511,9,13.627769947052002,1000
0,0.832,"[[  5   7   2   0   0   0]
 [  4 126  19   1   2   5]
 [  0   1  51   3   4   0]
 [  0   1   3  57   1   0]
 [  0   0  10   3  71   2]
 [  0   3   9   1   3 106]]",2019-09-07 00:34:11.601175,119.03674173355103,0.7676252365909292,0.7912226938174861,lstm,0.7837786015750899,0.7729810167632366,10,13.727140426635742,1000
