,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.874,"[[  9   0   0   0   0   0]
 [  0 137  30   3   2  10]
 [  0   0  63   5   4   0]
 [  0   0   0  56   0   0]
 [  0   1   1   1  73   4]
 [  0   0   0   0   2  99]]",2019-08-23 14:17:08.457819,255.2525510787964,0.8954953203809194,0.8455093058015412,cnn_bert,0.883640935545969,0.9200742120915387,1,7.307971954345703,1000
0,0.862,"[[  8   1   0   0   0   0]
 [  1 126  14   1   0   4]
 [  0   5  59   3   0   1]
 [  0   0   5  58   0   0]
 [  0   3  13   3  80   8]
 [  0   3   3   0   1 100]]",2019-08-23 14:21:32.475750,247.67479348182678,0.8618354388595665,0.8292651416409386,cnn_bert,0.8657516178542632,0.8704045929386135,2,7.404728174209595,1000
0,0.876,"[[  8   0   0   0   0   0]
 [  1 137  17   0   0  11]
 [  0   0  58   0   0   1]
 [  0   0   9  63   0   0]
 [  0   1  10   2  81  10]
 [  0   0   0   0   0  91]]",2019-08-23 14:28:55.383935,426.2914865016937,0.8813671270533826,0.8501359995925563,cnn_bert,0.8788673820695139,0.9103663676871764,1,7.436514616012573,2000
0,0.914,"[[  7   1   1   0   0   0]
 [  2 125   7   1   1   0]
 [  0   9  83   3   3   3]
 [  0   0   0  60   0   0]
 [  0   0   3   1  76   4]
 [  0   3   0   0   1 106]]",2019-08-23 14:36:23.752839,431.5884110927582,0.895558892522658,0.8919158593374517,cnn_bert,0.8943258713319393,0.8978459785754486,2,7.425704002380371,2000
0,0.912,"[[  8   0   1   0   0   0]
 [  1 121   6   0   0   0]
 [  0  10  73   1   0   1]
 [  0   0   3  64   0   0]
 [  0   1   9   0  81   3]
 [  0   6   2   0   0 109]]",2019-08-23 14:46:59.550134,618.6568202972412,0.9095905209079084,0.8903181102075756,cnn_bert,0.9152522303832545,0.9069291430301959,1,7.5244057178497314,3000
0,0.914,"[[  6   0   0   0   0   0]
 [  3 131   9   2   1   0]
 [  0   3  78   2   2   4]
 [  0   0   0  59   0   0]
 [  0   1   6   2  78   4]
 [  0   3   1   0   0 105]]",2019-08-23 14:57:38.526030,622.1739978790283,0.8965883035031412,0.8919331435475517,cnn_bert,0.8742646789177234,0.9323517296318434,2,7.471210241317749,3000
0,0.908,"[[  0   0   0   0   0   0]
 [  9 135  19   1   5   0]
 [  0   0  74   2   2   2]
 [  0   0   1  61   0   0]
 [  0   0   0   1  74   1]
 [  0   3   0   0   0 110]]",2019-08-23 15:11:16.234345,800.0031063556671,0.7678016579890636,0.8857438622367528,cnn_bert,0.7651646708211927,0.7758038456248695,1,7.784559011459351,4000
0,0.888,"[[  8   0   0   0   0   0]
 [  1 113   1   0   0   0]
 [  0  19  77   0   1   7]
 [  0   1  11  65   0   0]
 [  0   2   5   0  80   5]
 [  0   3   0   0   0 101]]",2019-08-23 15:24:58.320641,804.6209206581116,0.8972431509816511,0.86216708796887,cnn_bert,0.9013896725819023,0.9013113697896307,2,7.739262580871582,4000
0,0.684,"[[  6   0   1   0   0   0]
 [  3 138  52   5  37  33]
 [  0   0  41   4  20   1]
 [  0   0   0  56   1   0]
 [  0   0   0   0  22   0]
 [  0   0   0   0   1  79]]",2019-08-23 15:42:45.214788,1049.343649148941,0.6843621763851034,0.6282405851438606,cnn_bert,0.6558492205817463,0.827206081973364,1,7.751336574554443,5500
0,0.938,"[[  7   0   0   0   0   0]
 [  2 133   2   1   1   0]
 [  0   4  92  11   5   2]
 [  0   0   0  53   0   0]
 [  0   0   0   0  75   2]
 [  0   1   0   0   0 109]]",2019-08-23 16:00:56.349159,1073.3143849372864,0.9241924736615541,0.9230351316214286,cnn_bert,0.9043636015328619,0.9547978568614691,2,7.5606160163879395,5500
