,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.778,"[[  3   0   0   0   0   0]
 [  6 134  19   1   2   4]
 [  0   3  39   1   2   1]
 [  0   0   7  58   0   1]
 [  0   0  29   5  77  29]
 [  0   1   0   0   0  78]]",2019-08-23 18:41:31.803839,304.1016614437103,0.722258427817151,0.7345076729029872,cnn_bert,0.7087386510153677,0.845197442259825,1,8.768238306045532,1000
0,0.808,"[[  6   0   0   0   0   0]
 [  3 135  27   0   5   3]
 [  0   2  33   2   1   0]
 [  0   0   9  58   1   0]
 [  0   0  20   4  72  10]
 [  0   1   5   1   2 100]]",2019-08-23 18:46:54.110707,299.1878719329834,0.7852170050894828,0.766466248140133,cnn_bert,0.7770239499046815,0.8497309209318057,2,8.71869707107544,1000
0,0.83,"[[  3   0   0   0   0   0]
 [  5 119   2   0   3   1]
 [  1  18  70   3  10   4]
 [  0   0  17  60   2   1]
 [  0   0   5   2  65   9]
 [  0   1   0   0   1  98]]",2019-08-23 18:55:30.843633,494.01201033592224,0.7730504729364647,0.7877038150285784,cnn_bert,0.7555226201707345,0.8513718516129417,1,8.785107612609863,2000
0,0.862,"[[  3   0   0   0   0   0]
 [  6 135  24   0   4   4]
 [  0   2  52   1   2   0]
 [  0   0  13  62   2   0]
 [  0   0   3   2  71   1]
 [  0   1   2   0   2 108]]",2019-08-23 19:04:14.256134,496.9872844219208,0.7974391251084901,0.8306298659970027,cnn_bert,0.7751545447287218,0.8959420770376236,2,8.883424997329712,2000
0,0.85,"[[  4   0   0   0   0   0]
 [  4 134  11   0   3   2]
 [  0   3  47   0   4   0]
 [  0   0  26  65   2   1]
 [  1   0   6   0  71   6]
 [  0   1   4   0   1 104]]",2019-08-23 19:17:10.355863,752.4039685726166,0.7965465865343239,0.8165520286143357,cnn_bert,0.7853926882292493,0.8704470404825014,1,9.24272632598877,3000
0,0.898,"[[  4   0   0   0   0   0]
 [  5 130   7   0   3   1]
 [  0   2  76   6   6   1]
 [  0   0   4  57   0   0]
 [  0   0   4   2  71   0]
 [  0   6   3   0   1 111]]",2019-08-23 19:29:35.467459,716.5702798366547,0.8507855375746264,0.8712562619416087,cnn_bert,0.8217918733341559,0.9165725529259817,2,9.06622052192688,3000
0,0.894,"[[  4   0   0   0   0   0]
 [  5 131  11   0   3   4]
 [  0   5  75   2   8   2]
 [  0   0   4  62   0   1]
 [  0   0   2   1  70   1]
 [  0   2   2   0   0 105]]",2019-08-23 19:45:59.140359,957.0279304981232,0.8512770323419904,0.8665482096580159,cnn_bert,0.8231398952870296,0.9167480957535967,1,9.164211750030518,4000
0,0.892,"[[  7   0   0   0   0   0]
 [  2 135   7   0   3   1]
 [  0   1  61   1   4   1]
 [  0   0  11  61   0   0]
 [  0   0   3   2  72   1]
 [  0   2  12   1   2 110]]",2019-08-23 20:01:41.755525,913.9127790927887,0.8808300594565496,0.865759117494854,cnn_bert,0.867629428723303,0.9076103105456973,2,8.734162330627441,4000
0,0.866,"[[  5   1   1   0   0   0]
 [  3 133   7   0   2  13]
 [  0   4  78   2   6   8]
 [  0   0   6  62   0   0]
 [  1   0   2   1  73  10]
 [  0   0   0   0   0  82]]",2019-08-23 20:25:27.859891,1401.4889178276062,0.8297587892982631,0.8339797432709837,cnn_bert,0.8216425573502809,0.8504702331973092,1,9.695887088775635,5500
0,0.898,"[[  7   0   0   0   0   0]
 [  2 131   3   0   2   0]
 [  0   6  71   1   5   1]
 [  0   0  17  62   0   1]
 [  0   0   2   2  74   7]
 [  0   1   1   0   0 104]]",2019-08-23 20:48:42.763287,1363.145990371704,0.8864230899431109,0.8726816875380444,cnn_bert,0.8783587786822346,0.9035389613871252,2,8.906715631484985,5500
