,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.878,"[[  4   3   0   0   0   0]
 [  4 129  15   1   1   1]
 [  1   4  70   2   7   5]
 [  0   0   2  61   1   0]
 [  0   1   5   1  70   2]
 [  0   1   2   0   2 105]]",2019-05-20 18:18:47.353743,2404.354210138321,0.8200335594001965,0.846221537550504,cnn,0.8092950855587785,0.834332744172548,1,0.562371015548706,5500
0,0.878,"[[  4   3   0   0   0   0]
 [  4 127  12   1   1   1]
 [  1   6  72   2   7   5]
 [  0   0   2  61   1   0]
 [  0   1   6   1  70   2]
 [  0   1   2   0   2 105]]",2019-05-20 18:59:02.328272,2414.301372528076,0.8202375600821997,0.8461158828894416,cnn,0.8104257259123607,0.8330259313432921,2,0.5847008228302002,5500
0,0.882,"[[  4   3   0   0   0   0]
 [  4 131  13   1   2   1]
 [  1   2  70   2   7   5]
 [  0   0   4  61   1   0]
 [  0   1   5   1  70   2]
 [  0   1   2   0   1 105]]",2019-05-20 19:39:15.316357,2412.2925696372986,0.8215287657858507,0.8514310070538756,cnn,0.8117105444959766,0.835248250624041,3,0.60304856300354,5500
0,0.876,"[[  4   3   0   0   0   0]
 [  4 127  12   1   1   1]
 [  1   6  72   2   9   5]
 [  0   0   3  61   1   0]
 [  0   1   5   1  69   2]
 [  0   1   2   0   1 105]]",2019-05-20 20:19:01.627377,2385.584967851639,0.8181004952995385,0.8436368569174431,cnn,0.8083681127436364,0.8309276662233013,4,0.6351821422576904,5500
0,0.868,"[[  4   3   0   0   0   0]
 [  4 128  14   1   2   1]
 [  1   5  67   2   7   5]
 [  0   0   5  61   1   0]
 [  0   1   5   1  69   2]
 [  0   1   3   0   2 105]]",2019-05-20 20:59:03.282487,2400.903023958206,0.8098145555243178,0.833657904695123,cnn,0.800710593985285,0.8226476565076668,5,0.6608448028564453,5500
0,0.878,"[[  5   3   0   0   0   0]
 [  3 129  13   1   2   1]
 [  1   4  70   2   7   5]
 [  0   0   4  61   1   0]
 [  0   1   5   1  69   2]
 [  0   1   2   0   2 105]]",2019-05-20 21:39:00.539416,2396.480728149414,0.8321905990757935,0.8462888063392068,cnn,0.8257559909085729,0.8401153215693974,6,0.6853122711181641,5500
0,0.884,"[[  5   3   0   0   0   0]
 [  3 130  13   1   2   1]
 [  1   3  70   1   7   5]
 [  0   0   3  62   0   0]
 [  0   1   6   1  70   2]
 [  0   1   2   0   2 105]]",2019-05-20 22:18:50.880762,2389.5332367420197,0.8382681903317915,0.8539174462801807,cnn,0.8315854361099987,0.8466093293679501,7,0.7156174182891846,5500
0,0.876,"[[  4   3   0   0   0   0]
 [  4 131  14   1   2   1]
 [  1   2  67   2   7   5]
 [  0   0   4  61   0   0]
 [  0   1   6   1  70   2]
 [  0   1   3   0   2 105]]",2019-05-20 22:58:38.187717,2386.48664188385,0.816446564538095,0.84390324834194,cnn,0.8063913955598064,0.8307773756303168,8,0.7297813892364502,5500
0,0.882,"[[  4   3   0   0   0   0]
 [  4 130  14   1   1   1]
 [  0   3  70   2   7   5]
 [  0   0   2  61   0   0]
 [  1   1   6   1  71   2]
 [  0   1   2   0   2 105]]",2019-05-20 23:38:14.410525,2375.369402885437,0.8231882203780664,0.851340589873087,cnn,0.812560428196102,0.8376010843719811,9,0.7606086730957031,5500
0,0.884,"[[  4   3   0   0   0   0]
 [  4 129  12   1   2   1]
 [  1   4  72   2   6   5]
 [  0   0   2  61   0   0]
 [  0   1   6   1  71   2]
 [  0   1   2   0   2 105]]",2019-05-21 00:17:55.981592,2380.6692848205566,0.8254892742059848,0.8537468983871573,cnn,0.814898798018283,0.8394238360308458,10,0.8108301162719727,5500
