,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.5447154471544715,"[[  0  30   6  10   8   1]
 [  0  75  15   5   4  22]
 [  0  23  53   2  16  31]
 [  0  87  42 266  25  78]
 [  0  32  27  15 188 117]
 [  0   2   1  10   7 155]]",2019-05-09 00:01:37.629238,124.72671747207642,0.4324323284556206,0.45022774178407066,lstm,0.4457707701557823,0.4932879598336109,1,20.49018931388855,1000
0,0.6289726533628973,"[[  0  12   0   1   1   1]
 [  0  93  18   5   8  17]
 [  0  31  69  13  14  29]
 [  0  92  34 253  22  52]
 [  0  13   9   9 179  48]
 [  0   8  14  27  24 257]]",2019-05-09 00:04:03.125973,125.66400289535522,0.5016033373301657,0.5342870343765762,lstm,0.5053336702347709,0.5221612308400535,2,19.56685519218445,1000
0,0.6622320768662232,"[[  0  16   0   0   0   0]
 [  0  98  31   8   8  20]
 [  0  34  65  10  10  18]
 [  0  79  27 260  17  44]
 [  0  10  14   6 184  33]
 [  0  12   7  24  29 289]]",2019-05-09 00:06:25.980037,123.50734424591064,0.5237560493058824,0.5726509581886519,lstm,0.5244001747929868,0.5371307556638945,3,19.08201026916504,1000
0,0.6489283074648928,"[[  0  18   0   0   0   0]
 [  0  85  18   4   8  18]
 [  0  43  79  15  15  35]
 [  0  72  28 264  23  50]
 [  0  19  11   8 181  32]
 [  0  12   8  17  21 269]]",2019-05-09 00:08:48.751910,123.19371271133423,0.5154202356553405,0.5616443600274835,lstm,0.5237999539895322,0.534903689635268,4,19.315730571746826,1000
0,0.6430155210643016,"[[  0  16   1   0   0   0]
 [  0 100  29   6   8  16]
 [  0  32  65  11   9  26]
 [  0  83  31 266  26  67]
 [  0  10   8  10 181  37]
 [  0   8  10  15  24 258]]",2019-05-09 00:11:15.965664,127.39407205581665,0.5124654452572847,0.5534805140040401,lstm,0.5141807082152704,0.5334440189366934,5,19.554412841796875,1000
0,0.6400591278640059,"[[  0  14   2   2   1   1]
 [  0 101  27   8  10  27]
 [  0  29  67  10  11  23]
 [  0  81  30 247  20  45]
 [  0  11   9  14 185  42]
 [  0  13   9  27  21 266]]",2019-05-09 00:13:41.728083,124.27482461929321,0.5120208341587227,0.5459471591947976,lstm,0.512871983867552,0.5244649557596708,6,21.219722986221313,1000
0,0.6570583887657059,"[[  0  18   1   4   0   0]
 [  0  92  16   4   8  20]
 [  0  40  80  12  15  23]
 [  0  83  33 252  16  41]
 [  0   8   7  11 176  31]
 [  0   8   7  25  33 289]]",2019-05-09 00:16:06.396731,122.96768808364868,0.5260875067748197,0.5686206800795492,lstm,0.528039873232044,0.54572993620183,7,21.43703317642212,1000
0,0.656319290465632,"[[  0  14   1   0   0   0]
 [  0  98  22  12   6  16]
 [  0  44  78  20  10  25]
 [  0  70  29 240  13  40]
 [  0  11   9   8 190  41]
 [  0  12   5  28  29 282]]",2019-05-09 00:18:30.483716,124.00298738479614,0.5249433529927586,0.5663842178702257,lstm,0.5297684295524107,0.5358353442459872,8,19.822684049606323,1000
0,0.6348854397634885,"[[  0  11   0   1   4   8]
 [  0 101  30   8  15  14]
 [  0  39  71  10  11  27]
 [  0  77  31 268  26  58]
 [  0  11   9   5 162  40]
 [  0  10   3  16  30 257]]",2019-05-09 00:20:52.492998,121.74299907684326,0.5080869940390199,0.543260201476703,lstm,0.5096953893263773,0.5266856312259917,9,20.002635717391968,1000
0,0.6297117516629712,"[[  0  20   2   0   1   0]
 [  0  95  22  11  10  20]
 [  0  38  65   9  16  31]
 [  0  78  39 263  17  59]
 [  0  11   8  12 189  54]
 [  0   7   8  13  15 240]]",2019-05-09 00:23:19.179335,126.550217628479,0.5011971556466545,0.539744389699141,lstm,0.5071612128894677,0.5207771331994245,10,19.86346697807312,1000
0,0.6585365853658537,"[[  0  14   1   0   0   0]
 [  0 117  48   7   9  33]
 [  0  20  51  10  10  16]
 [  0  75  26 248  13  31]
 [  0  11  11  11 181  30]
 [  0  12   7  32  35 294]]",2019-05-09 00:25:43.689867,124.13148951530457,0.5175178425708195,0.5640170525496172,lstm,0.514467078648068,0.5283158720322674,11,20.11340069770813,1000
0,0.6348854397634885,"[[  0  19   1   2   0   1]
 [  0  83  22   3  12  27]
 [  0  37  73  12   8  31]
 [  0  87  35 264  26  52]
 [  0  17  10  10 183  37]
 [  0   6   3  17  19 256]]",2019-05-09 00:28:11.247160,125.11924147605896,0.505468646269263,0.545426187946071,lstm,0.5114978711772867,0.5249280187216016,12,22.166022539138794,1000
0,0.6415373244641537,"[[  0  10   0   0   0   0]
 [  0  93  22   6  16  10]
 [  0  23  57   4   4  15]
 [  0  90  42 263  24  37]
 [  0  10   5   6 132  19]
 [  0  23  18  29  72 323]]",2019-05-09 00:30:38.442414,126.23606085777283,0.49861195571315525,0.54265649069857,lstm,0.49249773802403835,0.5374785036368207,13,20.697560787200928,1000
0,0.623059866962306,"[[  0  13   0   1   5   0]
 [  0  84  23   8  14  22]
 [  0  48  74  13  12  32]
 [  0  82  33 259  23  56]
 [  0  17  10  12 172  40]
 [  0   5   4  15  22 254]]",2019-05-09 00:33:10.968657,131.7471206188202,0.4949762187339317,0.5301296583861402,lstm,0.5024014392953741,0.5122281286879072,14,20.517454147338867,1000
0,0.6156688839615669,"[[  0   9   1   2   2   2]
 [  0  93  18   7  13  17]
 [  0  36  69  11  11  28]
 [  0  86  38 227  20  46]
 [  0  17  12  35 173  40]
 [  0   8   6  26  29 271]]",2019-05-09 00:35:39.483737,127.46314930915833,0.4906335757830002,0.515293269702121,lstm,0.49300772565874657,0.5065852895142916,15,20.787764072418213,1000
0,0.6223207686622321,"[[  0  14   0   0   0   1]
 [  0  93  24   5   6  12]
 [  0  37  65  18  11  37]
 [  0  80  33 248  14  53]
 [  0  12  14   9 195  60]
 [  0  13   8  28  22 241]]",2019-05-09 00:38:12.103555,131.2576231956482,0.494470038523487,0.5272866940089794,lstm,0.5021504410055501,0.5125799031777117,16,21.09952735900879,1000
0,0.6415373244641537,"[[  0  14   0   0   0   1]
 [  0  90  23  10   9  17]
 [  0  37  73  13  14  29]
 [  0  83  30 248  18  35]
 [  0  13  12  11 172  37]
 [  0  12   6  26  35 285]]",2019-05-09 00:40:43.350338,129.74549269676208,0.5083609867606523,0.5469792549191609,lstm,0.5120964940705016,0.5213045912501411,17,21.233969926834106,1000
0,0.6577974870657798,"[[  0  12   1   0   0   0]
 [  0 101  24   5   8  19]
 [  0  28  64  10   9  15]
 [  0  87  34 268  25  56]
 [  0  14  10   7 192  49]
 [  0   7  11  18  14 265]]",2019-05-09 00:43:17.502683,132.78390526771545,0.5226922472282078,0.5718721930424249,lstm,0.5250551578301094,0.5447689283359668,18,21.100168228149414,1000
0,0.6430155210643016,"[[ 71  11   2   3  10]
 [ 77  86  12  22  30]
 [ 73  30 242  20  24]
 [  7   6   8 162  31]
 [ 21  11  44  41 309]]",2019-05-09 00:45:52.851252,131.3819763660431,0.6028596179544359,0.5500162312126758,lstm,0.6172308723571264,0.6430565632118758,19,23.703399658203125,1000
0,0.6504065040650406,"[[  0  13   0   0   0   0]
 [  0  96  21  12  10  15]
 [  0  30  66   7  15  26]
 [  0  88  35 264  22  60]
 [  0  11   9   8 175  24]
 [  0  11  13  17  26 279]]",2019-05-09 00:48:24.074052,128.59927892684937,0.5158564861901024,0.5604407398104512,lstm,0.516209596641192,0.5369822058542315,20,22.355725526809692,1000
0,0.639320029563932,"[[  0  13   0   2   1   0]
 [  0 103  28  10  10  22]
 [  0  40  70  16  17  21]
 [  0  74  30 253  28  56]
 [  0  12   9   8 166  32]
 [  0   7   7  19  26 273]]",2019-05-09 00:50:56.030829,130.27819800376892,0.5098432885087018,0.5463949393453206,lstm,0.5110486189967802,0.524911304271151,21,21.406174898147583,1000
0,0.6437546193643755,"[[  0  24   5   1   0   0]
 [  0  98  29   7  10  20]
 [  0  22  57  12  11  17]
 [  0  82  34 259  21  58]
 [  0  13   9  11 181  33]
 [  0  10  10  18  25 276]]",2019-05-09 00:53:29.778939,131.85752964019775,0.5103455926559882,0.5520276144038463,lstm,0.5072206246567137,0.5323316613414689,22,21.629244804382324,1000
0,0.6511456023651145,"[[  0  14   7   0   2   2]
 [  0 102  23  11   8  21]
 [  0  29  68   7  12  17]
 [  0  80  30 263  18  62]
 [  0  17  13   9 173  27]
 [  0   7   3  18  35 275]]",2019-05-09 00:56:04.084983,132.16934204101562,0.5211060531468203,0.5615001947407297,lstm,0.5190050991339025,0.5412488008243295,23,21.87263774871826,1000
0,0.6304508499630451,"[[  0  17   2   0   0   0]
 [  0  89  25   3  17  19]
 [  0  34  75   8  15  16]
 [  0  87  26 275  24  76]
 [  0  13  10   7 155  34]
 [  0   9   6  15  37 259]]",2019-05-09 00:58:41.578953,133.26344394683838,0.5034733463205217,0.5377407579793674,lstm,0.5062015506628116,0.5257036296684846,24,23.96531653404236,1000
0,0.623059866962306,"[[  0  14   1   0   0   0]
 [  0 100  29   9  14  19]
 [  0  29  71  13  15  28]
 [  0  79  25 243  32  50]
 [  0  14  13   9 167  45]
 [  0  13   5  34  20 262]]",2019-05-09 01:01:17.240496,133.23537945747375,0.4987280214476158,0.5245568574522399,lstm,0.5009208280797913,0.5106958879496571,25,22.162405252456665,1000
0,0.6341463414634146,"[[  0  16   0   0   0   0]
 [  0  99  20   6   7  19]
 [  0  37  78  13  17  35]
 [  0  73  33 263  20  53]
 [  0  18  10  12 181  60]
 [  0   6   3  14  23 237]]",2019-05-09 01:03:51.669271,132.1178262233734,0.5086801942660227,0.5455911802931882,lstm,0.5182709175087182,0.5275948401847109,26,22.04767632484436,1000
0,0.6437546193643755,"[[  0  19   0   0   0   0]
 [  0  86  19   6  10  15]
 [  0  32  66  13  11  27]
 [  0  91  37 258  22  47]
 [  0  10  14   5 173  27]
 [  0  11   8  26  32 288]]",2019-05-09 01:06:37.537783,139.66914463043213,0.5079891044096686,0.5513333746356349,lstm,0.508638188231682,0.53113975658632,27,25.929860591888428,1000
0,0.656319290465632,"[[  0  15   0   0   0   0]
 [  0  95  21   6   3  20]
 [  0  35  76  15  14  17]
 [  0  88  29 258  10  40]
 [  0  10  10  11 193  61]
 [  0   6   8  18  28 266]]",2019-05-09 01:09:24.952495,141.22361993789673,0.5240238308273909,0.5690757618831059,lstm,0.530601311315593,0.5399085955241789,28,25.92492651939392,1000
0,0.6548410938654841,"[[  0  19   4   0   0   0]
 [  0  95  30   6   5  12]
 [  0  30  60   9  10  18]
 [  0  84  31 261  20  58]
 [  0  11  10   5 180  26]
 [  0  10   9  27  33 290]]",2019-05-09 01:12:10.291593,139.29369163513184,0.5177927723405222,0.564561063640775,lstm,0.514870600379676,0.5418321054432166,29,25.776116371154785,1000
0,0.6289726533628973,"[[  0  12   1   0   0   0]
 [  0 108  30   8  10  14]
 [  0  26  59   7  11  32]
 [  0  81  25 268  23  70]
 [  0  14  12  13 185  57]
 [  0   8  17  12  19 231]]",2019-05-09 01:14:58.133049,141.49773907661438,0.4996823712340886,0.5368218969332232,lstm,0.5052228253774057,0.5182413326310477,30,26.076432466506958,1000
0,0.6452328159645233,"[[  0  21   0   0   0   0]
 [  0  90  16  10  15  19]
 [  0  41  79  20  11  22]
 [  0  80  28 263  30  68]
 [  0  13  15   5 179  33]
 [  0   4   6  10  13 262]]",2019-05-09 01:19:11.258657,229.13301587104797,0.5170536473757631,0.5597222406646324,lstm,0.5223736738622135,0.5393604712634277,1,23.726308584213257,2000
0,0.6829268292682927,"[[  0  16   1   0   0   0]
 [  0  96  15   3   2  14]
 [  0  36  84  21  14  11]
 [  0  72  26 259  15  39]
 [  0  21   9  11 191  46]
 [  0   8   9  14  26 294]]",2019-05-09 01:23:21.791252,224.09285521507263,0.5456700901652051,0.6022115201615319,lstm,0.5512781092528218,0.5665521914113086,2,26.170762062072754,2000
