,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.722,"[[  6   1   0   0   0   0]
 [  3 135  24   6  18  30]
 [  0   2  60   7  16  15]
 [  0   0   5  51   1   3]
 [  0   0   5   1  46   2]
 [  0   0   0   0   0  63]]",2019-05-14 14:14:46.779456,0.12983322143554688,0.7241098563047133,0.6606054900336396,rfc,0.6988773586082334,0.7973324514991181,1,0.005537986755371094,1000
0,0.738,"[[  6   0   0   1   0   0]
 [  2 132  18   2  11  18]
 [  1   6  60   6  16  21]
 [  0   0   6  55   2   2]
 [  0   0  10   1  52   8]
 [  0   0   0   0   0  64]]",2019-05-14 14:14:46.942764,0.14770722389221191,0.7356989024895414,0.6760704318644019,rfc,0.7193311857248795,0.7837428483930445,2,0.0060460567474365234,1000
0,0.694,"[[  7   1   1   0   0   0]
 [  2 130  21   4  14  33]
 [  0   6  52   6  15  17]
 [  0   1  13  54   3   6]
 [  0   0   6   1  48   1]
 [  0   0   1   0   1  56]]",2019-05-14 14:14:47.090494,0.13040566444396973,0.7002740307469953,0.6242096667181155,rfc,0.6986558828745814,0.7467763577043495,3,0.005577564239501953,1000
0,0.718,"[[  6   0   0   0   0   0]
 [  3 135  30   5  14  28]
 [  0   3  54   4  16  20]
 [  0   0   7  55   1   0]
 [  0   0   3   1  50   6]
 [  0   0   0   0   0  59]]",2019-05-14 14:14:47.241890,0.13408732414245605,0.7308264862014009,0.6555635252046405,rfc,0.7008262186524511,0.8151595356702046,4,0.005722761154174805,1000
0,0.724,"[[  6   1   0   0   0   0]
 [  3 129  23   4  13  25]
 [  0   6  59   4  17  16]
 [  0   1   6  53   0   5]
 [  0   0   6   2  51   3]
 [  0   1   0   2   0  64]]",2019-05-14 14:14:47.391729,0.13259100914001465,0.726995418306719,0.6589195814012814,rfc,0.706749129376763,0.780597617643363,5,0.00557708740234375,1000
0,0.73,"[[  6   0   0   0   0   0]
 [  2 135  20   6  13  25]
 [  1   2  62   5  20  19]
 [  0   0   5  53   2   5]
 [  0   0   7   0  45   0]
 [  0   1   0   1   1  64]]",2019-05-14 14:14:47.542437,0.13334417343139648,0.7350808452056384,0.668067612874491,rfc,0.7069689761121817,0.8127403736434271,6,0.005485057830810547,1000
0,0.754,"[[  6   0   0   0   0   0]
 [  3 133  13   3  15  23]
 [  0   5  69   8  13  21]
 [  0   0   4  54   2   2]
 [  0   0   8   0  51   3]
 [  0   0   0   0   0  64]]",2019-05-14 14:14:47.686136,0.12619900703430176,0.75916045379683,0.6979025259303137,rfc,0.7318746462691624,0.8313959955506118,7,0.005700349807739258,1000
0,0.696,"[[  6   0   0   0   0   0]
 [  3 131  30   3  15  31]
 [  0   7  53  10  18  13]
 [  0   0   4  51   1   2]
 [  0   0   7   1  46   6]
 [  0   0   0   0   1  61]]",2019-05-14 14:14:47.837069,0.1334242820739746,0.71148698489297,0.6256073013532683,rfc,0.6786852407087322,0.7949373214436862,8,0.005630970001220703,1000
0,0.762,"[[  6   0   0   0   0   0]
 [  2 134  20   3  12  17]
 [  1   3  63   6  19  15]
 [  0   0   6  55   1   3]
 [  0   0   5   1  47   2]
 [  0   1   0   0   2  76]]",2019-05-14 14:14:47.995274,0.1405956745147705,0.7629914241035153,0.7052287712395073,rfc,0.7344768427988743,0.8273792702217962,9,0.005665302276611328,1000
0,0.718,"[[  6   1   0   0   0   0]
 [  3 135  28   3  15  29]
 [  0   2  53   7  14  14]
 [  0   0   5  54   2   5]
 [  0   0   8   1  48   2]
 [  0   0   0   0   2  63]]",2019-05-14 14:14:48.156907,0.14388346672058105,0.718887443487025,0.6542293476275801,rfc,0.6982735451202592,0.7801344120632735,10,0.005624055862426758,1000
0,0.724,"[[  6   2   0   0   0   0]
 [  3 131  17   3  16  27]
 [  0   4  61   9  16  18]
 [  0   0   8  50   1   0]
 [  0   0   7   2  47   1]
 [  0   1   1   1   1  67]]",2019-05-14 14:14:48.307523,0.13273191452026367,0.7179673673296475,0.6585839900689886,rfc,0.7012127059985983,0.7659117394270928,11,0.005738735198974609,1000
0,0.702,"[[  6   1   0   2   0   0]
 [  2 133  24   4  20  31]
 [  1   3  54   5  12  16]
 [  0   0   4  52   1   7]
 [  0   0  12   2  48   1]
 [  0   1   0   0   0  58]]",2019-05-14 14:14:48.466482,0.14097929000854492,0.6922365150562825,0.6347587735077557,rfc,0.6851282994318096,0.7398373660897422,12,0.005637407302856445,1000
0,0.724,"[[  6   0   0   0   0   0]
 [  2 133  31   4  12  26]
 [  1   4  49   6  17  12]
 [  0   0   7  55   2   4]
 [  0   0   7   0  50   2]
 [  0   1   0   0   0  69]]",2019-05-14 14:14:48.628693,0.14414167404174805,0.7332928328275125,0.6601627186144157,rfc,0.7042947740251759,0.8053300528200967,13,0.005708456039428711,1000
0,0.72,"[[  7   1   0   0   0   0]
 [  2 133  24   4  19  29]
 [  0   3  60   5  16  17]
 [  0   0   3  55   2   1]
 [  0   0   6   1  42   3]
 [  0   1   1   0   2  63]]",2019-05-14 14:14:48.794012,0.14685416221618652,0.7342810829939025,0.656528460700694,rfc,0.7170063757710671,0.7915035531520642,14,0.005831241607666016,1000
0,0.712,"[[  6   0   0   1   0   0]
 [  2 131  27   3  19  28]
 [  1   7  54   8  17  15]
 [  0   0   6  53   0   1]
 [  0   0   7   0  45   2]
 [  0   0   0   0   0  67]]",2019-05-14 14:14:48.950583,0.13805794715881348,0.7188341804154611,0.6455928077776227,rfc,0.692378439835727,0.7878384687208216,15,0.00554203987121582,1000
0,0.724,"[[  6   1   0   0   0   0]
 [  2 134  23   3  16  33]
 [  1   3  58   7  14  10]
 [  0   0   4  54   4   3]
 [  0   0   8   1  46   3]
 [  0   0   1   0   1  64]]",2019-05-14 14:14:49.111986,0.14316749572753906,0.7243254497199326,0.6614650027661324,rfc,0.7032907637948492,0.7849065849851348,16,0.0056972503662109375,1000
0,0.734,"[[  6   1   0   0   0   0]
 [  3 133  18   3  13  30]
 [  0   4  61   8  15  15]
 [  0   0   5  53   1   2]
 [  0   0  10   1  52   4]
 [  0   0   0   0   0  62]]",2019-05-14 14:14:49.272554,0.14211106300354004,0.7348025935277008,0.6729969069869717,rfc,0.7142339072032889,0.7932246214755105,17,0.005700349807739258,1000
