,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.678,"[[  2   1   0   0   0   1]
 [  7 133  35   4  21  34]
 [  0   3  50  12  11   9]
 [  0   0   3  49   1   2]
 [  0   1   4   0  46   8]
 [  0   0   2   0   2  59]]",2019-05-14 14:18:34.965964,0.13445663452148438,0.620944893045722,0.605757302319723,rfc,0.5936294190001062,0.7106149011433159,1,0.005705118179321289,1000
0,0.676,"[[  3   4   2   0   0   2]
 [  6 128  43   6  23  23]
 [  0   3  43   9  14  12]
 [  0   3   2  50   0   2]
 [  0   0   3   0  43   3]
 [  0   0   1   0   1  71]]",2019-05-14 14:18:35.116968,0.13569235801696777,0.6222712847088888,0.6020343887089956,rfc,0.6077883207600766,0.6816483629856617,2,0.006003379821777344,1000
0,0.682,"[[  3   2   0   0   0   0]
 [  6 130  38   4  20  30]
 [  0   4  49   8  16  13]
 [  0   2   3  53   4   3]
 [  0   0   3   0  41   2]
 [  0   0   1   0   0  65]]",2019-05-14 14:18:35.276282,0.14185214042663574,0.6431455879747044,0.6104271509058425,rfc,0.6155696014023503,0.7343595551833536,3,0.005684852600097656,1000
0,0.714,"[[  4   2   0   0   0   0]
 [  5 131  38   5  12  26]
 [  0   4  50   4  18  12]
 [  0   0   1  55   0   2]
 [  0   0   3   1  51   7]
 [  0   1   2   0   0  66]]",2019-05-14 14:18:35.439127,0.14571499824523926,0.6922804055748061,0.6484478333311007,rfc,0.6642481621039932,0.7609855611923128,4,0.0056705474853515625,1000
0,0.648,"[[  2   1   0   0   0   0]
 [  7 128  47   6  20  37]
 [  0   7  40   8  12   7]
 [  0   2   2  50   3   2]
 [  0   0   2   1  43   6]
 [  0   0   3   0   3  61]]",2019-05-14 14:18:35.600988,0.14455175399780273,0.6014628420438596,0.568474579853541,rfc,0.5692013907685146,0.7190807753391324,5,0.005644798278808594,1000
0,0.644,"[[  3   1   0   0   0   0]
 [  6 126  40   4  16  26]
 [  0   5  41   7  17  22]
 [  0   1   4  53   3   4]
 [  0   3   6   0  43   5]
 [  0   2   3   1   2  56]]",2019-05-14 14:18:35.758416,0.14018774032592773,0.6136008713158648,0.5578874711832097,rfc,0.5873951764190963,0.7030674009310144,6,0.005637168884277344,1000
0,0.7,"[[  2   1   0   0   0   0]
 [  7 129  37   5  14  34]
 [  0   7  48   7  13   8]
 [  0   0   3  53   0   2]
 [  0   0   4   0  53   4]
 [  0   1   2   0   1  65]]",2019-05-14 14:18:35.930249,0.15392374992370605,0.6511751048153007,0.6317729047604613,rfc,0.6187616617945341,0.7567418213046037,7,0.0059397220611572266,1000
0,0.66,"[[  3   2   2   0   0   1]
 [  6 129  36   5  22  25]
 [  0   6  45   7  11  16]
 [  0   1   6  53   4   6]
 [  0   0   5   0  41   6]
 [  0   0   0   0   3  59]]",2019-05-14 14:18:36.100212,0.1517477035522461,0.6077380276429242,0.5815828581164391,rfc,0.5984201158300672,0.6633507333098257,8,0.0065000057220458984,1000
0,0.684,"[[  4   2   0   0   0   0]
 [  5 133  44   6  16  32]
 [  0   1  39   2  11   9]
 [  0   2   8  55   2   7]
 [  0   0   3   1  52   6]
 [  0   0   0   1   0  59]]",2019-05-14 14:18:36.273863,0.1551206111907959,0.6575473064100728,0.6176735158355902,rfc,0.6388932043348136,0.7374240834601687,9,0.005766153335571289,1000
0,0.68,"[[  3   2   0   0   1   0]
 [  6 131  33   4  13  27]
 [  0   3  44   7  17   9]
 [  0   1   3  52   1   3]
 [  0   0  12   2  47  11]
 [  0   1   2   0   2  63]]",2019-05-14 14:18:36.439469,0.14779877662658691,0.6320961649845612,0.6036749461910055,rfc,0.6147438065848675,0.6846774275650032,10,0.0057659149169921875,1000
0,0.668,"[[  6   4   2   0   0   1]
 [  3 131  47   7  18  38]
 [  0   2  38   6  14   4]
 [  0   0   3  50   1   2]
 [  0   0   3   1  47   6]
 [  0   1   1   1   1  62]]",2019-05-14 14:18:36.600659,0.14326000213623047,0.6521123682461886,0.5973757942179683,rfc,0.6530579328861902,0.7081643655333258,11,0.005746364593505859,1000
0,0.648,"[[  3   2   2   0   0   1]
 [  6 133  48   4  17  38]
 [  0   3  38   6  15  12]
 [  0   0   3  53   3   5]
 [  0   0   3   2  45   5]
 [  0   0   0   0   1  52]]",2019-05-14 14:18:36.759216,0.14041447639465332,0.6013344364200336,0.5726224987206137,rfc,0.5887456550858187,0.6761004689451825,12,0.0059545040130615234,1000
0,0.682,"[[  3   1   0   0   0   0]
 [  6 132  40   5  12  32]
 [  0   4  44   7  18  16]
 [  0   0   4  52   2   0]
 [  0   0   5   1  49   4]
 [  0   1   1   0   0  61]]",2019-05-14 14:18:36.930706,0.152235746383667,0.6507351205296,0.6094379007825483,rfc,0.6171169098835404,0.753532331132818,13,0.006323814392089844,1000
0,0.682,"[[  2   3   2   0   0   1]
 [  6 126  28   4  16  23]
 [  0   4  52   7  12  14]
 [  0   0   6  51   1   2]
 [  0   1   4   1  49  12]
 [  1   4   2   2   3  61]]",2019-05-14 14:18:37.096472,0.1471695899963379,0.612779866964021,0.603931793433677,rfc,0.6029723091524457,0.645319840005336,14,0.005965232849121094,1000
0,0.684,"[[  2   1   0   0   0   0]
 [  7 134  37   5  17  36]
 [  0   3  44   7  13   5]
 [  0   0   6  53   4   1]
 [  0   0   4   0  45   7]
 [  0   0   3   0   2  64]]",2019-05-14 14:18:37.258215,0.1433103084564209,0.626994631931772,0.6141114726474611,rfc,0.5997722789524874,0.7341345080671259,15,0.0055925846099853516,1000
0,0.706,"[[  3   2   0   0   0   0]
 [  6 133  40   5  14  32]
 [  0   2  47   4  17  11]
 [  0   0   1  56   1   1]
 [  0   1   5   0  47   2]
 [  0   0   1   0   2  67]]",2019-05-14 14:18:37.431828,0.15392327308654785,0.6691971811448544,0.6412238229675529,rfc,0.6386345297293953,0.7532247728677762,16,0.0070667266845703125,1000
0,0.688,"[[  3   2   0   0   0   0]
 [  6 130  35   1  18  29]
 [  0   1  47   7  14  16]
 [  0   2   2  53   0   1]
 [  0   2   6   3  48   4]
 [  0   1   4   1   1  63]]",2019-05-14 14:18:37.605168,0.1540076732635498,0.6498303807698813,0.6144358570268631,rfc,0.6234769417852655,0.7203743912932832,17,0.0060443878173828125,1000
0,0.652,"[[  1   0   0   0   0   0]
 [  8 135  41   3  17  39]
 [  0   1  40   9  16   5]
 [  0   1   6  52   1   7]
 [  0   0   4   0  45   9]
 [  0   1   3   1   2  53]]",2019-05-14 14:18:37.756256,0.1322767734527588,0.5735979112407295,0.5747448412222073,rfc,0.5565809999663446,0.759041773754937,18,0.0055084228515625,1000
0,0.688,"[[  2   1   0   0   0   0]
 [  7 131  41   3  16  34]
 [  0   5  40   8  13   6]
 [  0   0   3  52   1   2]
 [  0   0   6   1  51   3]
 [  0   1   4   1   0  68]]",2019-05-14 14:18:37.915516,0.1407489776611328,0.6357466989995042,0.6170283424717248,rfc,0.6047381734281224,0.7397356019105596,19,0.005830526351928711,1000
0,0.666,"[[  2   0   2   0   0   1]
 [  7 133  42   8  20  36]
 [  0   4  41   7  14   7]
 [  0   0   4  49   2   0]
 [  0   0   3   1  43   4]
 [  0   1   2   0   2  65]]",2019-05-14 14:18:38.082147,0.14757084846496582,0.6080008191604159,0.5927404292730176,rfc,0.5803486902075466,0.6941520027504974,20,0.006112575531005859,1000
0,0.666,"[[  5   2   2   0   0   1]
 [  3 131  42   4  19  31]
 [  0   3  42   8  17  11]
 [  0   0   2  52   1   3]
 [  0   0   4   0  42   6]
 [  1   2   2   1   2  61]]",2019-05-14 14:18:38.250910,0.14869403839111328,0.6442848973659098,0.5893555809140348,rfc,0.6349968259801283,0.6960642897924258,21,0.006938457489013672,1000
0,0.714,"[[  6   2   0   1   0   0]
 [  3 131  30   2  15  17]
 [  0   2  46   7  15  11]
 [  0   1   5  52   3   5]
 [  0   0   6   1  47   5]
 [  0   2   7   2   1  75]]",2019-05-14 14:18:38.426660,0.15606236457824707,0.697910759723737,0.6436471959097305,rfc,0.691544576475451,0.7237903309563807,22,0.0058138370513916016,1000
0,0.68,"[[  3   1   0   0   0   0]
 [  6 136  36   4  19  34]
 [  0   1  50   9  14  16]
 [  0   0   4  52   4   2]
 [  0   0   2   0  43   5]
 [  0   0   2   0   1  56]]",2019-05-14 14:18:38.590426,0.14458703994750977,0.643464703437756,0.6102435113748882,rfc,0.6128658153494947,0.7553568632671851,23,0.00560760498046875,1000
0,0.674,"[[  2   1   0   0   0   0]
 [  7 132  44   7  15  28]
 [  0   2  44   7  14  10]
 [  0   2   2  51   5   7]
 [  0   0   3   0  47   7]
 [  0   1   1   0   0  61]]",2019-05-14 14:18:38.749624,0.13998746871948242,0.6177686706781953,0.6010169985959547,rfc,0.5919190624634707,0.7264380408098231,24,0.00591278076171875,1000
0,0.65,"[[  3   3   2   1   0   2]
 [  6 132  44   4  23  35]
 [  0   1  38   6   8  11]
 [  0   2   4  51   7   3]
 [  0   0   5   3  43   4]
 [  0   0   1   0   0  58]]",2019-05-14 14:18:38.920365,0.15111947059631348,0.5919351588704241,0.5749715589670319,rfc,0.5871440516736898,0.6555873230685342,25,0.005831718444824219,1000
0,0.676,"[[  2   2   2   0   0   1]
 [  7 130  36   3  22  26]
 [  0   3  47   6  13  13]
 [  0   2   4  55   4   5]
 [  0   1   4   1  41   5]
 [  0   0   1   0   1  63]]",2019-05-14 14:18:39.084785,0.1444394588470459,0.6069240483379006,0.6021933013472384,rfc,0.5956833362138821,0.6637747922808898,26,0.005879402160644531,1000
0,0.68,"[[  3   2   0   1   0   2]
 [  6 134  33   5  21  44]
 [  0   2  54   8  16   6]
 [  0   0   2  50   0   2]
 [  0   0   3   0  44   4]
 [  0   0   2   1   0  55]]",2019-05-14 14:18:39.259353,0.15384435653686523,0.63443848414717,0.6129787605079714,rfc,0.6129970367806888,0.7152156986660668,27,0.0063931941986083984,1000
0,0.646,"[[  3   4   0   0   0   0]
 [  6 124  37   3  17  31]
 [  0   7  47  12  17  19]
 [  0   1   3  49   2   5]
 [  0   0   7   1  45   3]
 [  0   2   0   0   0  55]]",2019-05-14 14:18:39.437616,0.15767168998718262,0.6065356967194324,0.5623221250017089,rfc,0.5880019051815897,0.6738855762810516,28,0.005878448486328125,1000
0,0.662,"[[  2   1   0   0   0   0]
 [  7 135  44   6  23  36]
 [  0   2  39   6   7  14]
 [  0   0   5  53   3   7]
 [  0   0   5   0  47   1]
 [  0   0   1   0   1  55]]",2019-05-14 14:18:39.601688,0.14393258094787598,0.6090743434099398,0.5920369175124154,rfc,0.5829556502483987,0.7348601970411478,29,0.006482362747192383,1000
0,0.68,"[[  2   5   2   0   0   1]
 [  7 123  29   4  12  22]
 [  0   5  53  11  17  16]
 [  0   0   2  49   2   1]
 [  0   4   8   1  50  10]
 [  0   1   0   0   0  63]]",2019-05-14 14:18:39.764941,0.14192485809326172,0.6117359114040096,0.6024404690693955,rfc,0.6010014309399324,0.6534478732712466,30,0.006756782531738281,1000
0,0.714,"[[  5   2   0   0   0   0]
 [  4 133  24   4  14  19]
 [  0   3  51  10  16  12]
 [  0   0   9  48   2   2]
 [  0   0   8   2  49   9]
 [  0   0   2   1   0  71]]",2019-05-14 14:18:40.166773,0.37894487380981445,0.6906724891535075,0.6443887436021102,rfc,0.67226587618737,0.7345472754575099,1,0.007729530334472656,2000
0,0.702,"[[  5   3   2   0   0   1]
 [  4 130  32   4   9  22]
 [  0   3  46   7  21  16]
 [  0   1   7  54   2   3]
 [  0   1   7   0  49   4]
 [  0   0   0   0   0  67]]",2019-05-14 14:18:40.576847,0.38869142532348633,0.668617894873293,0.631626346841774,rfc,0.6692623499244886,0.7008640195653305,2,0.006231069564819336,2000
0,0.74,"[[  5   1   0   0   0   0]
 [  3 132  32   6  15  22]
 [  1   3  56   5  16  12]
 [  0   1   1  54   1   1]
 [  0   0   4   0  47   2]
 [  0   1   1   0   2  76]]",2019-05-14 14:18:41.006065,0.4064755439758301,0.7318873203743129,0.6797033221584218,rfc,0.6985674152613246,0.8053137058546632,3,0.007730007171630859,2000
0,0.724,"[[  3   0   0   0   0   1]
 [  6 133  33   3  10  20]
 [  0   4  51   6  17  16]
 [  0   0   4  56   1   3]
 [  0   1   5   0  52   6]
 [  0   0   1   0   1  67]]",2019-05-14 14:18:41.432909,0.39457106590270996,0.6835540044911838,0.6590960826024048,rfc,0.656014794154577,0.7666413620079772,4,0.007139444351196289,2000
0,0.714,"[[  6   3   0   1   0   0]
 [  3 127  38   2  13  22]
 [  0   5  46   5  15  11]
 [  0   1   6  54   1   4]
 [  0   2   4   2  52   4]
 [  0   0   0   1   0  72]]",2019-05-14 14:18:41.861349,0.4066917896270752,0.701782235008379,0.64656971965534,rfc,0.6977051508118195,0.7329118321538134,5,0.006415605545043945,2000
0,0.718,"[[  5   2   0   0   0   0]
 [  4 129  34   4  13  21]
 [  0   5  49   6  14  10]
 [  0   1   2  53   2   0]
 [  0   0   6   1  48   7]
 [  0   1   3   1   4  75]]",2019-05-14 14:18:42.340148,0.4544405937194824,0.7037144992809828,0.6493364622217854,rfc,0.6805514636887314,0.7512885224990816,6,0.008070945739746094,2000
0,0.712,"[[  3   3   0   0   0   0]
 [  6 133  41   2  13  32]
 [  0   1  44  10  13   7]
 [  0   1   6  52   0   2]
 [  0   0   3   1  53   1]
 [  0   0   0   0   2  71]]",2019-05-14 14:18:42.766655,0.40349841117858887,0.6668174660214503,0.6482158938750957,rfc,0.6413043545639098,0.7352374349891422,7,0.00673985481262207,2000
0,0.69,"[[  1   3   0   0   0   0]
 [  7 128  30   4  24  31]
 [  1   5  55  10  11  11]
 [  0   1   1  51   0   0]
 [  0   1   6   0  46   7]
 [  0   0   2   0   0  64]]",2019-05-14 14:18:43.184729,0.39731311798095703,0.6135394360755058,0.6185666350193013,rfc,0.5904403377621845,0.6852423680329949,8,0.006012916564941406,2000
0,0.738,"[[  3   0   0   0   0   1]
 [  6 137  29   4  14  24]
 [  0   0  54   8  16  10]
 [  0   1   3  52   1   1]
 [  0   0   3   0  50   4]
 [  0   0   5   1   0  73]]",2019-05-14 14:18:43.586611,0.38089632987976074,0.693989491494131,0.6775880530279185,rfc,0.6606427818934083,0.783603103171613,9,0.006397247314453125,2000
0,0.728,"[[  4   5   0   0   0   0]
 [  5 128  32   3   9  20]
 [  0   2  48   8  18   5]
 [  0   2   2  52   0   0]
 [  0   0   7   1  53   9]
 [  0   1   5   1   1  79]]",2019-05-14 14:18:43.994677,0.38594603538513184,0.6847809774486295,0.6608547477775801,rfc,0.6726758343504918,0.713423915442703,10,0.006133317947387695,2000
