,accuracy,confusion,datetime,execution_time,f1,mcc,model,precision,recall,run,test_time,train_size
0,0.934,"[[  7   0   0   0   0   0]
 [  2 136  12   0   4   3]
 [  0   2  77   2   2   0]
 [  0   0   0  63   0   0]
 [  0   0   3   0  75   1]
 [  0   0   2   0   0 109]]",2019-05-08 11:41:57.362642,357.6807379722595,0.927029946865752,0.9176041461904602,lstm,0.9070320708988336,0.9542169920299385,1,1.792057991027832,5500
0,0.91,"[[  8   2   0   0   0   0]
 [  1 131  10   0   4   4]
 [  0   4  74   3   3   2]
 [  0   0   2  61   0   0]
 [  0   0   6   1  74   0]
 [  0   1   2   0   0 107]]",2019-05-08 11:47:56.540118,357.13092827796936,0.9000660350202168,0.8868871671454845,lstm,0.9040571223338828,0.8980599895845374,2,1.7973079681396484,5500
0,0.922,"[[  7   1   0   0   0   0]
 [  2 136   9   0   2   4]
 [  0   0  73   3   3   2]
 [  0   0   3  62   0   0]
 [  0   0   7   0  76   0]
 [  0   1   2   0   0 107]]",2019-05-08 11:53:54.049470,355.4010763168335,0.9054732845957846,0.9023657371158817,lstm,0.8964835304145206,0.9178932556609932,3,1.8575568199157715,5500
0,0.922,"[[  7   2   0   0   0   0]
 [  2 129   7   0   2   1]
 [  0   5  78   3   2   2]
 [  0   0   4  61   0   0]
 [  0   0   4   1  77   1]
 [  0   2   1   0   0 109]]",2019-05-08 11:59:51.690733,355.3171925544739,0.8994516441873882,0.901780522661401,lstm,0.8993380354732738,0.8997874548358399,4,2.073086977005005,5500
0,0.924,"[[  7   2   0   0   0   1]
 [  2 132  12   0   3   1]
 [  0   3  73   2   0   0]
 [  0   0   2  63   0   0]
 [  0   0   6   0  78   2]
 [  0   1   1   0   0 109]]",2019-05-08 12:05:48.976573,355.0249080657959,0.8964871287840253,0.9050957882597168,lstm,0.9012817939490501,0.895681155216039,5,2.0104830265045166,5500
0,0.918,"[[  7   1   0   0   0   0]
 [  2 134  10   2   3   1]
 [  0   2  74   2   3   2]
 [  0   0   8  61   0   0]
 [  0   0   2   0  75   2]
 [  0   1   0   0   0 108]]",2019-05-08 12:11:45.748622,354.42582392692566,0.9007910448427645,0.8972460709700286,lstm,0.8926943316435728,0.912065993354024,6,2.097010850906372,5500
0,0.928,"[[  7   1   0   0   0   0]
 [  2 132  10   0   3   2]
 [  0   4  73   1   0   0]
 [  0   0   5  64   1   0]
 [  0   1   4   0  77   0]
 [  0   0   2   0   0 111]]",2019-05-08 12:17:44.997885,356.8808286190033,0.9112435929037087,0.9100568760889973,lstm,0.9047381358518031,0.9220690776085435,7,2.118467092514038,5500
0,0.916,"[[  7   1   0   0   0   0]
 [  2 133   7   0   2   6]
 [  0   3  74   1   3   0]
 [  0   0   6  64   0   0]
 [  0   0   5   0  76   3]
 [  0   1   2   0   0 104]]",2019-05-08 12:23:45.745421,358.3261992931366,0.9012782705674862,0.8948998164438885,lstm,0.8953368180212565,0.911042858241716,8,2.1619372367858887,5500
0,0.918,"[[  7   1   0   0   0   0]
 [  2 129   5   0   2   2]
 [  0   5  75   1   1   2]
 [  0   0   2  64   0   0]
 [  0   1  10   0  78   3]
 [  0   2   2   0   0 106]]",2019-05-08 12:29:47.643454,359.19591307640076,0.9039649302270664,0.8972795793381398,lstm,0.8993440286370737,0.9117408557625949,9,2.4520180225372314,5500
0,0.926,"[[  7   1   0   0   0   0]
 [  2 133  10   1   2   3]
 [  0   3  73   1   0   0]
 [  0   0   4  63   0   0]
 [  0   0   5   0  78   1]
 [  0   1   2   0   1 109]]",2019-05-08 12:35:47.405569,357.1361241340637,0.9103912626967247,0.9076193523405625,lstm,0.902489523417649,0.9228863926640538,10,2.375661611557007,5500
0,0.918,"[[  7   1   0   0   0   0]
 [  1 132   7   0   2   3]
 [  1   3  79   3   3   5]
 [  0   0   2  62   0   0]
 [  0   0   5   0  76   2]
 [  0   2   1   0   0 103]]",2019-05-08 12:41:49.950917,359.8726110458374,0.9042543303781524,0.8968164774620577,lstm,0.8963912053977156,0.9136468538851763,11,2.41086745262146,5500
0,0.904,"[[  7   1   0   0   0   0]
 [  1 129   9   0   4   4]
 [  1   6  74   4   3   0]
 [  0   0   4  61   0   0]
 [  0   2   5   0  74   2]
 [  0   0   2   0   0 107]]",2019-05-08 12:47:52.969957,360.0510084629059,0.8911406516103337,0.879160584454437,lstm,0.8831231448781661,0.9008565484976369,12,2.7163562774658203,5500
